1p.prs	1p.pst	3p.prs	3p.pst
replay	replayed	replays	replayed
replenish	replenished	replenishes	replenished
bug	bugged	bugs	bugged
replicate	replicated	replicates	replicated
reply	replied	replies	replied
bugger	buggered	buggers	buggered
repoint	repointed	repoints	repointed
report	reported	reports	reported
bugle	bugled	bugles	bugled
repose	reposed	reposes	reposed
build	built	builds	built
repossess	repossessed	repossesses	repossessed
repot	repotted	repots	repotted
reprehend	reprehended	reprehends	reprehended
re-present	re-presented	re-presents	re-presented
represent	represented	represents	represented
repress	repressed	represses	repressed
bulge	bulged	bulges	bulged
reprieve	reprieved	reprieves	reprieved
reprimand	reprimanded	reprimands	reprimanded
reprint	reprinted	reprints	reprinted
bull	bulled	bulls	bulled
reproach	reproached	reproaches	reproached
bulldoze	bulldozed	bulldozes	bulldozed
reprobate	reprobated	reprobates	reprobated
reproduce	reproduced	reproduces	reproduced
reproof	reproofed	reproofs	reproofed
reprove	reproved	reproves	reproved
bullshit	bullshitted	bullshits	bullshitted
bully	bullied	bullies	bullied
repudiate	repudiated	repudiates	repudiated
repulse	repulsed	repulses	repulsed
bum	bummed	bums	bummed
bumble	bumbled	bumbles	bumbled
repute	reputed	reputes	reputed
request	requested	requests	requested
bump	bumped	bumps	bumped
require	required	requires	required
requisition	requisitioned	requisitions	requisitioned
requite	requited	requites	requited
rerun	reran	reruns	reran
rescind	rescinded	rescinds	rescinded
bunch	bunched	bunches	bunched
rescue	rescued	rescues	rescued
bundle	bundled	bundles	bundled
research	researched	researches	researched
reseat	reseated	reseats	reseated
bung	bunged	bungs	bunged
resemble	resembled	resembles	resembled
resent	resented	resents	resented
bungle	bungled	bungles	bungled
reserve	reserved	reserves	reserved
bunk	bunked	bunks	bunked
bunker	bunkered	bunkers	bunkered
reset	reset	resets	reset
resettle	resettled	resettles	resettled
reshuffle	reshuffled	reshuffles	reshuffled
reside	resided	resides	resided
buoy	buoyed	buoys	buoyed
resign	resigned	resigns	resigned
burble	burbled	burbles	burbled
burden	burdened	burdens	burdened
resinate	resinated	resinates	resinated
resist	resisted	resists	resisted
burgeon	burgeoned	burgeons	burgeoned
resole	resoled	resoles	resoled
burglarize	burglarized	burglarizes	burglarized
resolve	resolved	resolves	resolved
burgle	burgled	burgles	burgled
resonate	resonated	resonates	resonated
burke	burked	burkes	burked
resort	resorted	resorts	resorted
burlesque	burlesqued	burlesques	burlesqued
resound	resounded	resounds	resounded
burn	burned	burns	burned
respect	respected	respects	respected
burnish	burnished	burnishes	burnished
burp	burped	burps	burped
respire	respired	respires	respired
respite	respited	respites	respited
burr	burred	burrs	burred
burrow	burrowed	burrows	burrowed
respond	responded	responds	responded
burst	burst	bursts	burst
burthen	burthened	burthens	burthened
rest	rested	rests	rested
restage	restaged	restages	restaged
restate	restated	restates	restated
bury	buried	buries	buried
bus	bused	buses	bused
bushwhack	bushwhacked	bushwhacks	bushwhacked
restock	restocked	restocks	restocked
busk	busked	busks	busked
restore	restored	restores	restored
bust	busted	busts	busted
restrain	restrained	restrains	restrained
restrict	restricted	restricts	restricted
bustle	bustled	bustles	bustled
busy	busied	busies	busied
restructure	restructured	restructures	restructured
result	resulted	results	resulted
resume	resumed	resumes	resumed
resurface	resurfaced	resurfaces	resurfaced
butcher	butchered	butchers	butchered
resurrect	resurrected	resurrects	resurrected
resuscitate	resuscitated	resuscitates	resuscitated
butt	butted	butts	butted
ret	retted	rets	retted
butter	buttered	butters	buttered
retail	retailed	retails	retailed
retail	retailed	retails	retailed
retain	retained	retains	retained
retake	retook	retakes	retook
retaliate	retaliated	retaliates	retaliated
retard	retarded	retards	retarded
retch	retched	retches	retched
button	buttoned	buttons	buttoned
retell	retold	retells	retold
buttonhole	buttonholed	buttonholes	buttonholed
rethink	rethought	rethinks	rethought
buttress	buttressed	buttresses	buttressed
reticulate	reticulated	reticulates	reticulated
buy	bought	buys	bought
retire	retired	retires	retired
buzz	buzzed	buzzes	buzzed
retool	retooled	retools	retooled
retort	retorted	retorts	retorted
retouch	retouched	retouches	retouched
retrace	retraced	retraces	retraced
retract	retracted	retracts	retracted
retread	retreaded	retreads	retreaded
retreat	retreated	retreats	retreated
retrench	retrenched	retrenches	retrenched
bypass	bypassed	bypasses	bypassed
retrieve	retrieved	retrieves	retrieved
retrograde	retrograded	retrogrades	retrograded
retrogress	retrogressed	retrogresses	retrogressed
return	returned	returns	returned
cable	cabled	cables	cabled
reunite	reunited	reunites	reunited
reuse	reused	reuses	reused
rev	revved	revs	revved
revalue	revalued	revalues	revalued
revamp	revamped	revamps	revamped
reveal	revealed	reveals	revealed
revel	revelled	revels	revelled
cache	cached	caches	cached
cackle	cackled	cackles	cackled
revenge	revenged	revenges	revenged
caddie	caddied	caddies	caddied
reverberate	reverberated	reverberates	reverberated
revere	revered	reveres	revered
reverence	reverenced	reverences	reverenced
cadge	cadged	cadges	cadged
reverse	reversed	reverses	reversed
cage	caged	cages	caged
review	reviewed	reviews	reviewed
revile	reviled	reviles	reviled
revise	revised	revises	revised
cajole	cajoled	cajoles	cajoled
cake	caked	cakes	caked
revitalize	revitalized	revitalizes	revitalized
revive	revived	revives	revived
revivify	revivified	revivifies	revivified
calcify	calcified	calcifies	calcified
calcine	calcined	calcines	calcined
revoke	revoked	revokes	revoked
revolt	revolted	revolts	revolted
calculate	calculated	calculates	calculated
revolutionize	revolutionized	revolutionizes	revolutionized
revolve	revolved	revolves	revolved
calender	calendered	calenders	calendered
reward	rewarded	rewards	rewarded
calibrate	calibrated	calibrates	calibrated
rewire	rewired	rewires	rewired
reword	reworded	rewords	reworded
rewrite	rewrote	rewrites	rewrote
rhapsodize	rhapsodized	rhapsodizes	rhapsodized
calk	calked	calks	calked
calk	calked	calks	calked
call	called	calls	called
rhyme	rhymed	rhymes	rhymed
calm	calmed	calms	calmed
rib	ribbed	ribs	ribbed
calumniate	calumniated	calumniates	calumniated
calve	calved	calves	calved
rick	ricked	ricks	ricked
camber	cambered	cambers	cambered
ricochet	ricochetted	ricochets	ricochetted
riddle	riddled	riddles	riddled
ride	rode	rides	rode
ridge	ridged	ridges	ridged
ridicule	ridiculed	ridicules	ridiculed
camouflage	camouflaged	camouflages	camouflaged
camp	camped	camps	camped
campaign	campaigned	campaigns	campaigned
riffle	riffled	riffles	riffled
camphorate	camphorated	camphorates	camphorated
rifle	rifled	rifles	rifled
rig	rigged	rigs	rigged
can	could	can	could
can	canned	cans	canned
right	righted	rights	righted
canalize	canalized	canalizes	canalized
cancel	cancelled	cancels	cancelled
candy	candied	candies	candied
cane	caned	canes	caned
rile	riled	riles	riled
canker	cankered	cankers	cankered
rim	rimmed	rims	rimmed
ring	rang	rings	rang
ring	ringed	rings	ringed
cannibalize	cannibalized	cannibalizes	cannibalized
cannon	cannoned	cannons	cannoned
canoe	canoed	canoes	canoed
canonize	canonized	canonizes	canonized
canoodle	canoodled	canoodles	canoodled
rinse	rinsed	rinses	rinsed
riot	rioted	riots	rioted
cant	canted	cants	canted
rip	ripped	rips	ripped
canter	cantered	canters	cantered
ripen	ripened	ripens	ripened
canton	cantoned	cantons	cantoned
riposte	riposted	ripostes	riposted
ripple	rippled	ripples	rippled
canvass	canvassed	canvasses	canvassed
cap	capped	caps	capped
rise	rose	rises	rose
caparison	caparisoned	caparisons	caparisoned
risk	risked	risks	risked
caper	capered	capers	capered
rival	rivalled	rivals	rivalled
capitalize	capitalized	capitalizes	capitalized
rive	rived	rives	rived
capitulate	capitulated	capitulates	capitulated
rivet	riveted	rivets	riveted
capsize	capsized	capsizes	capsized
captain	captained	captains	captained
captivate	captivated	captivates	captivated
capture	captured	captures	captured
roam	roamed	roams	roamed
caravan	caravanned	caravans	caravanned
roar	roared	roars	roared
roast	roasted	roasts	roasted
carbonate	carbonated	carbonates	carbonated
rob	robbed	robs	robbed
robe	robed	robes	robed
carbonize	carbonized	carbonizes	carbonized
rock	rocked	rocks	rocked
carburet	carbureted	carburets	carbureted
card	carded	cards	carded
rocket	rocketed	rockets	rocketed
care	cared	cares	cared
careen	careened	careens	careened
career	careered	careers	careered
caress	caressed	caresses	caressed
roll	rolled	rolls	rolled
caricature	caricatured	caricatures	caricatured
roller-skate	roller-skated	roller-skates	roller-skated
rollick	rollicked	rollicks	rollicked
carol	carolled	carols	carolled
carouse	caroused	carouses	caroused
carp	carped	carps	carped
romance	romanced	romances	romanced
carpet	carpeted	carpets	carpeted
romanticize	romanticized	romanticizes	romanticized
romp	romped	romps	romped
carry	carried	carries	carried
roneo	roneoed	roneos	roneoed
roof	roofed	roofs	roofed
rook	rooked	rooks	rooked
room	roomed	rooms	roomed
cart	carted	carts	carted
roost	roosted	roosts	roosted
root	rooted	roots	rooted
cartoon	cartooned	cartoons	cartooned
rootle	rootled	rootles	rootled
cartwheel	cartwheeled	cartwheels	cartwheeled
carve	carved	carves	carved
rope	roped	ropes	roped
cascade	cascaded	cascades	cascaded
case	cased	cases	cased
cash	cashed	cashes	cashed
cashier	cashiered	cashiers	cashiered
rosin	rosinned	rosins	rosinned
rot	rotted	rots	rotted
rotate	rotated	rotates	rotated
cast	cast	casts	cast
castigate	castigated	castigates	castigated
castle	castled	castles	castled
rouge	rouged	rouges	rouged
rough	roughed	roughs	roughed
castrate	castrated	castrates	castrated
roughcast	roughcast	roughcasts	roughcast
rough-dry	rough-dried	rough-dries	rough-dried
roughen	roughened	roughens	roughened
roughhouse	roughhoused	roughhouses	roughhoused
round	rounded	rounds	rounded
catalogue	catalogued	catalogues	catalogued
catapult	catapulted	catapults	catapulted
catcall	catcalled	catcalls	catcalled
catch	caught	catches	caught
rouse	roused	rouses	roused
rout	routed	routs	routed
catechize	catechized	catechizes	catechized
route	routed	routes	routed
categorize	categorized	categorizes	categorized
cater	catered	caters	catered
rove	roved	roves	roved
caterwaul	caterwauled	caterwauls	caterwauled
row	rowed	rows	rowed
row	rowed	rows	rowed
rub	rubbed	rubs	rubbed
caucus	caucused	caucuses	caucused
rubber	rubbered	rubbers	rubbered
rubberize	rubberized	rubberizes	rubberized
rubberneck	rubbernecked	rubbernecks	rubbernecked
rubber-stamp	rubber-stamped	rubber-stamps	rubber-stamped
cause	caused	causes	caused
rubbish	rubbished	rubbishes	rubbished
cauterize	cauterized	cauterizes	cauterized
caution	cautioned	cautions	cautioned
ruck	rucked	rucks	rucked
ruddle	ruddled	ruddles	ruddled
cavil	cavilled	cavils	cavilled
cavort	cavorted	cavorts	cavorted
rue	rued	rues	rued
caw	cawed	caws	cawed
ruff	ruffed	ruffs	ruffed
cease	ceased	ceases	ceased
ruffle	ruffled	ruffles	ruffled
cede	ceded	cedes	ceded
celebrate	celebrated	celebrates	celebrated
ruin	ruined	ruins	ruined
rule	ruled	rules	ruled
rumble	rumbled	rumbles	rumbled
ruminate	ruminated	ruminates	ruminated
cement	cemented	cements	cemented
rummage	rummaged	rummages	rummaged
cense	censed	censes	censed
censor	censored	censors	censored
rumour	rumoured	rumours	rumoured
rumple	rumpled	rumples	rumpled
censure	censured	censures	censured
run	ran	runs	ran
centralize	centralized	centralizes	centralized
centre	centred	centres	centred
cerebrate	cerebrated	cerebrates	cerebrated
rupture	ruptured	ruptures	ruptured
rush	rushed	rushes	rushed
certificate	certificated	certificates	certificated
certify	certified	certifies	certified
rust	rusted	rusts	rusted
rusticate	rusticated	rusticates	rusticated
rustle	rustled	rustles	rustled
chafe	chafed	chafes	chafed
chaff	chaffed	chaffs	chaffed
rustproof	rustproofed	rustproofs	rustproofed
chagrin	chagrined	chagrins	chagrined
rut	rutted	ruts	rutted
chain	chained	chains	chained
chain-smoke	chain-smoked	chain-smokes	chain-smoked
chair	chaired	chairs	chaired
chalk	chalked	chalks	chalked
sabotage	sabotaged	sabotages	sabotaged
challenge	challenged	challenges	challenged
sabre	sabred	sabres	sabred
sack	sacked	sacks	sacked
champ	champed	champs	champed
champion	championed	champions	championed
sacrifice	sacrificed	sacrifices	sacrificed
chance	chanced	chances	chanced
sadden	saddened	saddens	saddened
saddle	saddled	saddles	saddled
change	changed	changes	changed
channel	channelled	channels	channelled
chant	chanted	chants	chanted
chap	chapped	chaps	chapped
safeguard	safeguarded	safeguards	safeguarded
chaperon	chaperoned	chaperons	chaperoned
char	charred	chars	charred
char	charred	chars	charred
sag	sagged	sags	sagged
characterize	characterized	characterizes	characterized
charge	charged	charges	charged
sail	sailed	sails	sailed
charm	charmed	charms	charmed
salaam	salaamed	salaams	salaamed
chart	charted	charts	charted
charter	chartered	charters	chartered
chase	chased	chases	chased
chasten	chastened	chastens	chastened
chastise	chastised	chastises	chastised
salify	salified	salifies	salified
chat	chatted	chats	chatted
chatter	chattered	chatters	chattered
salivate	salivated	salivates	salivated
sallow	sallowed	sallows	sallowed
chauffeur	chauffeured	chauffeurs	chauffeured
chaw	chawed	chaws	chawed
cheapen	cheapened	cheapens	cheapened
salt	salted	salts	salted
cheat	cheated	cheats	cheated
check	checked	checks	checked
checkmate	checkmated	checkmates	checkmated
salute	saluted	salutes	saluted
salvage	salvaged	salvages	salvaged
salve	salved	salves	salved
cheek	cheeked	cheeks	cheeked
cheep	cheeped	cheeps	cheeped
cheer	cheered	cheers	cheered
sample	sampled	samples	sampled
sanctify	sanctified	sanctifies	sanctified
sanction	sanctioned	sanctions	sanctioned
sand	sanded	sands	sanded
sandbag	sandbagged	sandbags	sandbagged
sandblast	sandblasted	sandblasts	sandblasted
chequer	chequered	chequers	chequered
cherish	cherished	cherishes	cherished
sandpaper	sandpapered	sandpapers	sandpapered
sandwich	sandwiched	sandwiches	sandwiched
chew	chewed	chews	chewed
chicane	chicaned	chicanes	chicaned
sap	sapped	saps	sapped
chide	chided	chides	chided
sashay	sashayed	sashays	sashayed
sass	sassed	sasses	sassed
chill	chilled	chills	chilled
sate	sated	sates	sated
chime	chimed	chimes	chimed
satiate	satiated	satiates	satiated
satirize	satirized	satirizes	satirized
satisfy	satisfied	satisfies	satisfied
saturate	saturated	saturates	saturated
chink	chinked	chinks	chinked
sauce	sauced	sauces	sauced
chip	chipped	chips	chipped
saunter	sauntered	saunters	sauntered
saute	sauteed	sautes	sauteed
chirp	chirped	chirps	chirped
chirrup	chirruped	chirrups	chirruped
savage	savaged	savages	savaged
chisel	chiselled	chisels	chiselled
save	saved	saves	saved
chivy	chivied	chivies	chivied
chlorinate	chlorinated	chlorinates	chlorinated
chloroform	chloroformed	chloroforms	chloroformed
savour	savoured	savours	savoured
chock	chocked	chocks	chocked
savvy	savvied	savvies	savvied
saw	sawed	saws	sawed
choke	choked	chokes	choked
say	said	says	said
chomp	chomped	chomps	chomped
choose	chose	chooses	chose
scab	scabbed	scabs	scabbed
chop	chopped	chops	chopped
scald	scalded	scalds	scalded
scale	scaled	scales	scaled
scallop	scalloped	scallops	scalloped
chortle	chortled	chortles	chortled
chorus	chorused	choruses	chorused
scalp	scalped	scalps	scalped
scamp	scamped	scamps	scamped
scamper	scampered	scampers	scampered
christen	christened	christens	christened
scan	scanned	scans	scanned
scandalize	scandalized	scandalizes	scandalized
scant	scanted	scants	scanted
scar	scarred	scars	scarred
chronicle	chronicled	chronicles	chronicled
scare	scared	scares	scared
scarify	scarified	scarifies	scarified
chuck	chucked	chucks	chucked
scarper	scarpered	scarpers	scarpered
chuckle	chuckled	chuckles	chuckled
scat	scatted	scats	scatted
chug	chugged	chugs	chugged
chum	chummed	chums	chummed
scatter	scattered	scatters	scattered
church	churched	churches	churched
scavenge	scavenged	scavenges	scavenged
scent	scented	scents	scented
churn	churned	churns	churned
schedule	scheduled	schedules	scheduled
schematize	schematized	schematizes	schematized
scheme	schemed	schemes	schemed
cinch	cinched	cinches	cinched
school	schooled	schools	schooled
cipher	ciphered	ciphers	ciphered
circle	circled	circles	circled
circularize	circularized	circularizes	circularized
circulate	circulated	circulates	circulated
circumcise	circumcised	circumcises	circumcised
circumnavigate	circumnavigated	circumnavigates	circumnavigated
scintillate	scintillated	scintillates	scintillated
circumscribe	circumscribed	circumscribes	circumscribed
scissor	scissored	scissors	scissored
scoff	scoffed	scoffs	scoffed
circumvent	circumvented	circumvents	circumvented
scold	scolded	scolds	scolded
scoop	scooped	scoops	scooped
cite	cited	cites	cited
scoot	scooted	scoots	scooted
scorch	scorched	scorches	scorched
score	scored	scores	scored
scorn	scorned	scorns	scorned
civilize	civilized	civilizes	civilized
scotch	scotched	scotches	scotched
clack	clacked	clacks	clacked
claim	claimed	claims	claimed
clam	clammed	clams	clammed
clamber	clambered	clambers	clambered
scour	scoured	scours	scoured
scourge	scourged	scourges	scourged
clamour	clamoured	clamours	clamoured
scout	scouted	scouts	scouted
clamp	clamped	clamps	clamped
scowl	scowled	scowls	scowled
scrabble	scrabbled	scrabbles	scrabbled
scrag	scragged	scrags	scragged
clang	clanged	clangs	clanged
scram	scrammed	scrams	scrammed
scramble	scrambled	scrambles	scrambled
clank	clanked	clanks	clanked
scrap	scrapped	scraps	scrapped
scrape	scraped	scrapes	scraped
clap	clapped	claps	clapped
scratch	scratched	scratches	scratched
clarify	clarified	clarifies	clarified
scrawl	scrawled	scrawls	scrawled
clash	clashed	clashes	clashed
clasp	clasped	clasps	clasped
scream	screamed	screams	screamed
class	classed	classes	classed
screech	screeched	screeches	screeched
screen	screened	screens	screened
screw	screwed	screws	screwed
classify	classified	classifies	classified
scribble	scribbled	scribbles	scribbled
scribe	scribed	scribes	scribed
scrimmage	scrimmaged	scrimmages	scrimmaged
scrimp	scrimped	scrimps	scrimped
scrimshank	scrimshanked	scrimshanks	scrimshanked
clatter	clattered	clatters	clattered
claw	clawed	claws	clawed
scrounge	scrounged	scrounges	scrounged
clean	cleaned	cleans	cleaned
scrub	scrubbed	scrubs	scrubbed
scrummage	scrummaged	scrummages	scrummaged
cleanse	cleansed	cleanses	cleansed
scrunch	scrunched	scrunches	scrunched
scruple	scrupled	scruples	scrupled
clear	cleared	clears	cleared
scrutinize	scrutinized	scrutinizes	scrutinized
scud	scudded	scuds	scudded
scuff	scuffed	scuffs	scuffed
scuffle	scuffled	scuffles	scuffled
scull	sculled	sculls	sculled
sculpt	sculpted	sculpts	sculpted
cleave	cleaved	cleaves	cleaved
sculpture	sculptured	sculptures	sculptured
scupper	scuppered	scuppers	scuppered
clench	clenched	clenches	clenched
scurry	scurried	scurries	scurried
clerk	clerked	clerks	clerked
scuttle	scuttled	scuttles	scuttled
scythe	scythed	scythes	scythed
clew	clewed	clews	clewed
click	clicked	clicks	clicked
climax	climaxed	climaxes	climaxed
climb	climbed	climbs	climbed
clinch	clinched	clinches	clinched
seal	sealed	seals	sealed
cling	clung	clings	clung
clink	clinked	clinks	clinked
seam	seamed	seams	seamed
clip	clipped	clips	clipped
clip	clipped	clips	clipped
sear	seared	sears	seared
cloak	cloaked	cloaks	cloaked
search	searched	searches	searched
clobber	clobbered	clobbers	clobbered
clock	clocked	clocks	clocked
season	seasoned	seasons	seasoned
clog	clogged	clogs	clogged
seat	seated	seats	seated
cloister	cloistered	cloisters	cloistered
clop	clopped	clops	clopped
close	closed	closes	closed
secede	seceded	secedes	seceded
seclude	secluded	secludes	secluded
second	seconded	seconds	seconded
second	seconded	seconds	seconded
closet	closeted	closets	closeted
clot	clotted	clots	clotted
clothe	clothed	clothes	clothed
cloud	clouded	clouds	clouded
secrete	secreted	secretes	secreted
clout	clouted	clouts	clouted
section	sectioned	sections	sectioned
clown	clowned	clowns	clowned
cloy	cloyed	cloys	cloyed
club	clubbed	clubs	clubbed
secularize	secularized	secularizes	secularized
secure	secured	secures	secured
cluck	clucked	clucks	clucked
clump	clumped	clumps	clumped
sedate	sedated	sedates	sedated
clunk	clunked	clunks	clunked
cluster	clustered	clusters	clustered
clutch	clutched	clutches	clutched
clutter	cluttered	clutters	cluttered
seduce	seduced	seduces	seduced
coach	coached	coaches	coached
see	saw	sees	saw
coagulate	coagulated	coagulates	coagulated
seed	seeded	seeds	seeded
coal	coaled	coals	coaled
coalesce	coalesced	coalesces	coalesced
seek	sought	seeks	sought
seem	seemed	seems	seemed
coarsen	coarsened	coarsens	coarsened
coast	coasted	coasts	coasted
seep	seeped	seeps	seeped
seesaw	seesawed	seesaws	seesawed
seethe	seethed	seethes	seethed
coat	coated	coats	coated
segment	segmented	segments	segmented
segregate	segregated	segregates	segregated
coax	coaxed	coaxes	coaxed
seine	seined	seines	seined
cobble	cobbled	cobbles	cobbled
cobble	cobbled	cobbles	cobbled
seize	seized	seizes	seized
select	selected	selects	selected
cock	cocked	cocks	cocked
cocoon	cocooned	cocoons	cocooned
cod	codded	cods	codded
coddle	coddled	coddles	coddled
code	coded	codes	coded
codify	codified	codifies	codified
coerce	coerced	coerces	coerced
coexist	coexisted	coexists	coexisted
cogitate	cogitated	cogitates	cogitated
sell	sold	sells	sold
cognize	cognized	cognizes	cognized
cohabit	cohabited	cohabits	cohabited
sellotape	sellotaped	sellotapes	sellotaped
cohere	cohered	coheres	cohered
semaphore	semaphored	semaphores	semaphored
coil	coiled	coils	coiled
coin	coined	coins	coined
coincide	coincided	coincides	coincided
coke	coked	cokes	coked
send	sent	sends	sent
cold-shoulder	cold-shouldered	cold-shoulders	cold-shouldered
collaborate	collaborated	collaborates	collaborated
collapse	collapsed	collapses	collapsed
collar	collared	collars	collared
sense	sensed	senses	sensed
collate	collated	collates	collated
collect	collected	collects	collected
sensitize	sensitized	sensitizes	sensitized
collectivize	collectivized	collectivizes	collectivized
sentence	sentenced	sentences	sentenced
collide	collided	collides	collided
sentimentalize	sentimentalized	sentimentalizes	sentimentalized
collocate	collocated	collocates	collocated
separate	separated	separates	separated
collude	colluded	colludes	colluded
colonize	colonized	colonizes	colonized
sequester	sequestered	sequesters	sequestered
sequestrate	sequestrated	sequestrates	sequestrated
colour	coloured	colours	coloured
serenade	serenaded	serenades	serenaded
serialize	serialized	serializes	serialized
comb	combed	combs	combed
combat	combatted	combats	combatted
sermonize	sermonized	sermonizes	sermonized
serrate	serrated	serrates	serrated
combine	combined	combines	combined
serve	served	serves	served
service	serviced	services	serviced
combust	combusted	combusts	combusted
come	came	comes	came
set	set	sets	set
settle	settled	settles	settled
comfort	comforted	comforts	comforted
sever	severed	severs	severed
sew	sewed	sews	sewed
command	commanded	commands	commanded
sex	sexed	sexes	sexed
commandeer	commandeered	commandeers	commandeered
commemorate	commemorated	commemorates	commemorated
commence	commenced	commences	commenced
commend	commended	commends	commended
comment	commented	comments	commented
commentate	commentated	commentates	commentated
commercialize	commercialized	commercializes	commercialized
shackle	shackled	shackles	shackled
commingle	commingled	commingles	commingled
shade	shaded	shades	shaded
shadow	shadowed	shadows	shadowed
commission	commissioned	commissions	commissioned
shadowbox	shadowboxed	shadowboxes	shadowboxed
commit	committed	commits	committed
shaft	shafted	shafts	shafted
shag	shagged	shags	shagged
shake	shook	shakes	shook
shall	should	shall	should
shallow	shallowed	shallows	shallowed
commune	communed	communes	communed
sham	shammed	shams	shammed
shamble	shambled	shambles	shambled
communicate	communicated	communicates	communicated
shame	shamed	shames	shamed
shampoo	shampooed	shampoos	shampooed
shanghai	shanghaied	shanghais	shanghaied
commutate	commutated	commutates	commutated
commute	commuted	commutes	commuted
compact	compacted	compacts	compacted
shape	shaped	shapes	shaped
share	shared	shares	shared
compare	compared	compares	compared
compartmentalize	compartmentalized	compartmentalizes	compartmentalized
sharpen	sharpened	sharpens	sharpened
compass	compassed	compasses	compassed
shatter	shattered	shatters	shattered
compel	compelled	compels	compelled
shave	shaved	shaves	shaved
compensate	compensated	compensates	compensated
compere	compered	comperes	compered
compete	competed	competes	competed
shear	sheared	shears	sheared
sheathe	sheathed	sheathes	sheathed
compile	compiled	compiles	compiled
shed	shed	sheds	shed
complain	complained	complains	complained
sheer	sheered	sheers	sheered
complement	complemented	complements	complemented
complete	completed	completes	completed
complicate	complicated	complicates	complicated
shell	shelled	shells	shelled
shellac	shellacked	shellacs	shellacked
compliment	complimented	compliments	complimented
comply	complied	complies	complied
shelter	sheltered	shelters	sheltered
shelve	shelved	shelves	shelved
comport	comported	comports	comported
compose	composed	composes	composed
shepherd	shepherded	shepherds	shepherded
compost	composted	composts	composted
compound	compounded	compounds	compounded
shew	shewed	shews	shewed
comprehend	comprehended	comprehends	comprehended
shield	shielded	shields	shielded
shift	shifted	shifts	shifted
compress	compressed	compresses	compressed
comprise	comprised	comprises	comprised
shilly-shally	shilly-shallied	shilly-shallies	shilly-shallied
compromise	compromised	compromises	compromised
shimmer	shimmered	shimmers	shimmered
shin	shinned	shins	shinned
shine	shone	shines	shone
shine	shined	shines	shined
compute	computed	computes	computed
shingle	shingled	shingles	shingled
computerize	computerized	computerizes	computerized
shinny	shinnied	shinnies	shinnied
con	conned	cons	conned
con	conned	cons	conned
concatenate	concatenated	concatenates	concatenated
ship	shipped	ships	shipped
conceal	concealed	conceals	concealed
concede	conceded	concedes	conceded
conceive	conceived	conceives	conceived
concentrate	concentrated	concentrates	concentrated
shipwreck	shipwrecked	shipwrecks	shipwrecked
conceptualize	conceptualized	conceptualizes	conceptualized
concern	concerned	concerns	concerned
shirk	shirked	shirks	shirked
shirr	shirred	shirrs	shirred
concert	concerted	concerts	concerted
concertina	concertinaed	concertinas	concertinaed
shit	shit	shits	shit
shiver	shivered	shivers	shivered
conciliate	conciliated	conciliates	conciliated
shoal	shoaled	shoals	shoaled
shock	shocked	shocks	shocked
conclude	concluded	concludes	concluded
concoct	concocted	concocts	concocted
shoe	shod	shoes	shod
concrete	concreted	concretes	concreted
shoo	shooed	shoos	shooed
concur	concurred	concurs	concurred
shoot	shot	shoots	shot
concuss	concussed	concusses	concussed
condemn	condemned	condemns	condemned
condense	condensed	condenses	condensed
condescend	condescended	condescends	condescended
condition	conditioned	conditions	conditioned
shop	shopped	shops	shopped
shoplift	shoplifted	shoplifts	shoplifted
condone	condoned	condones	condoned
conduct	conducted	conducts	conducted
shore	shored	shores	shored
short	shorted	shorts	shorted
short-change	short-changed	short-changes	short-changed
confab	confabbed	confabs	confabbed
confabulate	confabulated	confabulates	confabulated
short-circuit	short-circuited	short-circuits	short-circuited
shorten	shortened	shortens	shortened
confederate	confederated	confederates	confederated
confer	conferred	confers	conferred
short-list	short-listed	short-lists	short-listed
confess	confessed	confesses	confessed
confide	confided	confides	confided
confine	confined	confines	confined
confirm	confirmed	confirms	confirmed
shoulder	shouldered	shoulders	shouldered
confiscate	confiscated	confiscates	confiscated
shout	shouted	shouts	shouted
conflate	conflated	conflates	conflated
conflict	conflicted	conflicts	conflicted
shove	shoved	shoves	shoved
conform	conformed	conforms	conformed
shovel	shovelled	shovels	shovelled
show	showed	shows	showed
confound	confounded	confounds	confounded
shower	showered	showers	showered
confront	confronted	confronts	confronted
confuse	confused	confuses	confused
confute	confuted	confutes	confuted
congeal	congealed	congeals	congealed
shred	shredded	shreds	shredded
congest	congested	congests	congested
conglomerate	conglomerated	conglomerates	conglomerated
shriek	shrieked	shrieks	shrieked
congratulate	congratulated	congratulates	congratulated
shrill	shrilled	shrills	shrilled
congregate	congregated	congregates	congregated
shrimp	shrimped	shrimps	shrimped
shrine	shrined	shrines	shrined
shrink	shrank	shrinks	shrank
shrive	shrived	shrives	shrived
shrivel	shrivelled	shrivels	shrivelled
shroud	shrouded	shrouds	shrouded
shrug	shrugged	shrugs	shrugged
shuck	shucked	shucks	shucked
shudder	shuddered	shudders	shuddered
conjecture	conjectured	conjectures	conjectured
conjoin	conjoined	conjoins	conjoined
shuffle	shuffled	shuffles	shuffled
shun	shunned	shuns	shunned
conjugate	conjugated	conjugates	conjugated
shunt	shunted	shunts	shunted
shush	shushed	shushes	shushed
shut	shut	shuts	shut
shutter	shuttered	shutters	shuttered
conjure	conjured	conjures	conjured
conjure	conjured	conjures	conjured
shuttle	shuttled	shuttles	shuttled
conk	conked	conks	conked
shy	shied	shies	shied
connect	connected	connects	connected
connive	connived	connives	connived
