Present_Transcription	Past_Transcription	Count	Present_Orthography	Past_Orthography	Regular_or_Irregular
b.ɪ.l.i.v	b.ɪ.l.i.v.d	7649	believe	believed	reg
p.l.eɪ	p.l.eɪ.d	7245	play	played	reg
h.ɛ.l.p	h.ɛ.l.p.t	6956	help	helped	reg
s.p.i.k	s.p.oʊ.k	6655	speak	spoke	irreg
ɹ.ɪ.m.ɛ.m.b.ɚ	ɹ.ɪ.m.ɛ.m.b.ɚ.d	6538	remember	remembered	reg
p.eɪ	p.eɪ.d	6268	pay	paid	reg
g.ɹ.oʊ	g.ɹ.u	6112	grow	grew	irreg
l.u.z	l.ɔ.s.t	6086	lose	lost	irreg
s.t.ɑ.p	s.t.ɑ.p.t	5955	stop	stopped	reg
l.aɪ.k	l.aɪ.k.t	5855	like	liked	reg
w.eɪ.t	w.eɪ.t.ɪ.d	5720	wait	waited	reg
k.æ.ɹ.i	k.æ.ɹ.i.d	5582	carry	carried	reg
w.ɔ.k	w.ɔ.k.t	5552	walk	walked	reg
l.ɚ.n	l.ɚ.n.d	5524	learn	learned	reg
l.ɚ.n	l.ɚ.n.t	5524	learn	learnt	irreg
l.aɪ	l.eɪ	5362	lie	lay	irreg
f.ɑ.l.oʊ	f.ɑ.l.oʊ.d	5305	follow	followed	reg
l.ɛ.d	l.ɛ.d	5292	lead	led	irreg
f.ɔ.l	f.ɛ.l	5276	fall	fell	irreg
ʌ.p.ɪ.ɹ	ʌ.p.ɪ.ɹ.d	5226	appear	appeared	reg
ʌ.n.d.ɚ.s.t.æ.n.d	ʌ.n.d.ɚ.s.t.ʊ.d	5220	understand	understood	irreg
i.t	eɪ.t	5183	eat	ate	irreg
ɪ.k.s.p.ɛ.k.t	ɪ.k.s.p.ɛ.k.t.ʌ.d	5095	expect	expected	reg
s.p.ɛ.n.d	s.p.ɛ.n.t	5036	spend	spent	irreg
s.ɛ.n.d	s.ɛ.n.t	4822	send	sent	irreg
ʌ.l.aʊ	ʌ.l.aʊ.d	4744	allow	allowed	reg
k.ʌ.n.t.ɪ.n.j.u	k.ʌ.n.t.ɪ.n.j.u.d	4702	continue	continued	reg
ɹ.ɪ.m.eɪ.n	ɹ.ɪ.m.eɪ.n.d	4696	remain	remained	reg
p.æ.s	p.æ.s.t	4687	pass	passed	reg
p.ɹ.ʌ.v.aɪ.d	p.ɹ.ʌ.v.aɪ.d.ʌ.d	4664	provide	provided	reg
b.aɪ	b.ɑ.t	4594	buy	bought	irreg
ɹ.i.tʃ	ɹ.i.tʃ.t	4577	reach	reached	reg
d.ɪ.v.ɛ.l.ʌ.p	d.ɪ.v.ɛ.l.ʌ.p.t	4492	develop	developed	reg
s.t.eɪ	s.t.eɪ.d	4487	stay	stayed	reg
w.ɑ.tʃ	w.ɑ.tʃ.t	4483	watch	watched	reg
d.ɪ.s.aɪ.d	d.ɪ.s.aɪ.d.ɪ.d	4479	decide	decided	reg
p.ɹ.ʌ.d.u.s	p.ɹ.ʌ.d.u.s.t	4397	produce	produced	reg
w.ɛ.ɹ	w.ɔ.ɹ	4339	wear	wore	irreg
b.ɪ.l.d	b.ɪ.l.t	4336	build	built	irreg
d.aɪ	d.aɪ.d	4279	die	died	reg
l.ʌ.v	l.ʌ.v.d	4277	love	loved	reg
æ.d	æ.d.ɪ.d	4190	add	added	reg
m.i.t	m.ɛ.t	4182	meet	met	irreg
ɪ.n.k.ɹ.i.s	ɪ.n.k.ɹ.i.s.t	4140	increase	increased	reg
oʊ.p.ʌ.n	oʊ.p.ʌ.n.d	4121	open	opened	reg
s.ʌ.dʒ.ɛ.s.t	s.ʌ.dʒ.ɛ.s.t.ʌ.d	4108	suggest	suggested	reg
b.ɹ.eɪ.k	b.ɹ.oʊ.k	4102	break	broke	irreg
h.oʊ.p	h.oʊ.p.t	4080	hope	hoped	reg
s.ʌ.p.oʊ.z	s.ʌ.p.oʊ.z.d	4071	suppose	supposed	reg
ɹ.ɪ.t.ɚ.n	ɹ.ɪ.t.ɚ.n.d	3973	return	returned	reg
d.ɹ.aɪ.v	d.ɹ.oʊ.v	3907	drive	drove	irreg
d.ɹ.ɔ	d.ɹ.u	3853	draw	drew	irreg
ɪ.n.v.ɑ.l.v	ɪ.n.v.ɑ.l.v.d	3779	involve	involved	reg
k.ɪ.l	k.ɪ.l.d	3756	kill	killed	reg
k.ʌ.n.s.ɪ.d.ɚ	k.ʌ.n.s.ɪ.d.ɚ.d	3730	consider	considered	reg
æ.k.s.ɛ.p.t	æ.k.s.ɛ.p.t.ɪ.d	3712	accept	accepted	reg
ɔ.f.ɚ	ɔ.f.ɚ.d	3672	offer	offered	reg
ɹ.i.ʌ.l.aɪ.z	ɹ.i.ʌ.l.aɪ.z.d	3628	realize	realized	reg
ɪ.k.s.p.l.eɪ.n	ɪ.k.s.p.l.eɪ.n.d	3606	explain	explained	reg
ɹ.aɪ.z	ɹ.oʊ.z	3486	rise	rose	irreg
k.æ.tʃ	k.ɑ.t	3459	catch	caught	irreg
ʌ.g.ɹ.i	ʌ.g.ɹ.i.d	3424	agree	agreed	reg
ɹ.i.k.w.aɪ.ɚ	ɹ.i.k.w.aɪ.ɚ.d	3391	require	required	reg
p.ɪ.k	p.ɪ.k.t	3386	pick	picked	reg
w.ɪ.ʃ	w.ɪ.ʃ.t	3373	wish	wished	reg
p.ʊ.l	p.ʊ.l.d	3330	pull	pulled	reg
k.ʌ.v.ɚ	k.ʌ.v.ɚ.d	3263	cover	covered	reg
tʃ.u.z	tʃ.oʊ.z	3211	choose	chose	irreg
l.ɪ.s.ʌ.n	l.ɪ.s.ʌ.n.d	3175	listen	listened	reg
ɹ.eɪ.z	ɹ.eɪ.z.d	3147	raise	raised	reg
w.ʌ.n.d.ɚ	w.ʌ.n.d.ɚ.d	3083	wonder	wondered	reg
k.ɑ.z	k.ɑ.z.d	3074	cause	caused	reg
ɚ.aɪ.v	ɚ.aɪ.v.d	3073	arrive	arrived	reg
l.æ.f	l.æ.f.t	3058	laugh	laughed	reg
f.ɚ.g.ɛ.t	f.ɚ.g.ɑ.t	3056	forget	forgot	irreg
æ.n.s.ɚ	æ.n.s.ɚ.d	3048	answer	answered	reg
p.l.æ.n	p.l.æ.n.d	3013	plan	planned	reg
d.ɪ.s.k.ɹ.aɪ.b	d.ɪ.s.k.ɹ.aɪ.b.d	2950	describe	described	reg
s.m.aɪ.l	s.m.aɪ.l.d	2892	smile	smiled	reg
k.ɹ.i.eɪ.t	k.ɹ.i.eɪ.t.ʌ.d	2870	create	created	reg
θ.ɹ.oʊ	θ.ɹ.u	2858	throw	threw	irreg
ɹ.ʌ.s.i.v	ɹ.ʌ.s.i.v.d	2835	receive	received	reg
w.ɪ.n	w.ʌ.n	2762	win	won	irreg
p.ɹ.u.v	p.ɹ.u.v.d	2674	prove	proved	reg
s.ɚ.v	s.ɚ.v.d	2669	serve	served	reg
ɛ.n.dʒ.ɔɪ	ɛ.n.dʒ.ɔɪ.d	2656	enjoy	enjoyed	reg
f.eɪ.l	f.eɪ.l.d	2608	fail	failed	reg
s.ɛ.l	s.oʊ.l.d	2596	sell	sold	irreg
dʒ.ɔɪ.n	dʒ.ɔɪ.n.d	2594	join	joined	reg
t.i.tʃ	t.ɔ.t	2558	teach	taught	irreg
d.ɹ.ɑ.p	d.ɹ.ɑ.p.t	2551	drop	dropped	reg
f.aɪ.t	f.ɔ.t	2549	fight	fought	irreg
f.ɔ.ɹ.s	f.ɔ.ɹ.s.t	2535	force	forced	reg
ɛ.n.d	ɛ.n.d.ʌ.d	2524	end	ended	reg
d.ɪ.s.k.ʌ.v.ɚ	d.ɪ.s.k.ʌ.v.ɚ.d	2499	discover	discovered	reg
ɹ.ɛ.k.ʌ.g.n.aɪ.z	ɹ.ɛ.k.ʌ.g.n.aɪ.z.d	2467	recognize	recognized	reg
f.ɪ.l	f.ɪ.l.d	2463	fill	filled	reg
f.eɪ.s	f.eɪ.s.t	2438	face	faced	reg
f.i.d	f.ɛ.d	2379	feed	fed	irreg
ɪ.g.z.ɪ.s.t	ɪ.g.z.ɪ.s.t.ʌ.d	2361	exist	existed	reg
p.ɔɪ.n.t	p.ɔɪ.n.t.ɪ.d	2360	point	pointed	reg
ʃ.eɪ.k	ʃ.ʊ.k	2359	shake	shook	irreg
t.ɛ.n.d	t.ɛ.n.d.ʌ.d	2336	tend	tended	reg
n.oʊ.t.ʌ.s	n.oʊ.t.ɪ.s.t	2323	notice	noticed	reg
d.ɹ.ɪ.ŋ.k	d.ɹ.æ.ŋ.k	2321	drink	drank	irreg
ɛ.n.t.ɚ	ɛ.n.t.ɚ.d	2309	enter	entered	reg
d.ɪ.s.k.ʌ.s	d.ɪ.s.k.ʌ.s.t	2306	discuss	discussed	reg
s.l.i.p	s.l.ɛ.p.t	2306	sleep	slept	irreg
m.æ.n.ʌ.dʒ	m.æ.n.ʌ.dʒ.d	2289	manage	managed	reg
h.æ.ŋ	h.ʌ.ŋ	2275	hang	hung	irreg
ɪ.n.k.l.u.d	ɪ.n.k.l.u.d.ʌ.d	2274	include	included	reg
f.ɔ.ɹ.m	f.ɔ.ɹ.m.d	2256	form	formed	reg
f.ɪ.n.ɪ.ʃ	f.ɪ.n.ɪ.ʃ.t	2248	finish	finished	reg
m.ɛ.ɹ.i	m.ɛ.ɹ.i.d	2245	marry	married	reg
s.aʊ.n.d	s.aʊ.n.d.ɪ.d	2245	sound	sounded	reg
k.ʌ.n.t.eɪ.n	k.ʌ.n.t.eɪ.n.d	2244	contain	contained	reg
p.ʊ.ʃ	p.ʊ.ʃ.t	2235	push	pushed	reg
ʌ.k.ɚ	ʌ.k.ɚ.d	2232	occur	occurred	reg
ɪ.s.t.æ.b.l.ɪ.ʃ	ɪ.s.t.æ.b.l.ɪ.ʃ.t	2227	establish	established	reg
ɪ.m.æ.dʒ.ʌ.n	ɪ.m.æ.dʒ.ʌ.n.d	2221	imagine	imagined	reg
æ.k.t	æ.k.t.ɪ.d	2212	act	acted	reg
s.eɪ.v	s.eɪ.v.d	2188	save	saved	reg
k.ɛ.ɹ	k.ɛ.ɹ.d	2175	care	cared	reg
s.t.ɛ.ɹ	s.t.ɛ.ɹ.d	2175	stare	stared	reg
l.eɪ	l.eɪ.d	2167	lay	laid	reg
k.ɹ.aɪ	k.ɹ.aɪ.d	2158	cry	cried	reg
k.l.oʊ.s	k.l.oʊ.z.d	2157	close	closed	reg
s.ʌ.f.ɚ	s.ʌ.f.ɚ.d	2156	suffer	suffered	reg
s.i.k	s.ɔ.t	2147	seek	sought	irreg
ʃ.ɛ.ɹ	ʃ.ɛ.ɹ.d	2137	share	shared	reg
ɑ.ɹ.g.j.u	ɑ.ɹ.g.j.u.d	2130	argue	argued	reg
ɹ.ɪ.d.u.s	ɹ.ɪ.d.u.s.t	2127	reduce	reduced	reg
ʌ.tʃ.i.v	ʌ.tʃ.i.v.d	2121	achieve	achieved	reg
s.ʌ.p.ɔ.ɹ.t	s.ʌ.p.ɔ.ɹ.t.ʌ.d	2114	support	supported	reg
ʌ.p.l.aɪ	ʌ.p.l.aɪ.d	2111	apply	applied	reg
s.t.ʌ.d.i	s.t.ʌ.d.i.d	2103	study	studied	reg
θ.æ.ŋ.k	θ.æ.ŋ.k.t	2063	thank	thanked	reg
ʌ.v.ɔɪ.d	ʌ.v.ɔɪ.d.ɪ.d	2057	avoid	avoided	reg
ɹ.ʌ.f.j.u.z	ɹ.ʌ.f.j.u.z.d	2043	refuse	refused	reg
m.ɛ.n.ʃ.ʌ.n	m.ɛ.n.ʃ.ʌ.n.d	2023	mention	mentioned	reg
ʌ.k.ɔ.ɹ.d	ʌ.k.ɔ.ɹ.d.ɪ.d	2010	accord	accorded	reg
v.ɪ.z.ɪ.t	v.ɪ.z.ɪ.t.ɪ.d	1975	visit	visited	reg
ʌ.s.u.m	ʌ.s.u.m.d	1968	assume	assumed	reg
t.ʌ.tʃ	t.ʌ.tʃ.t	1967	touch	touched	reg
ɛ.n.k.ɚ.ɪ.dʒ	ɛ.n.k.ɚ.ɪ.dʒ.d	1925	encourage	encouraged	reg
b.ɛ.ɹ	b.ɔ.ɹ	1917	bear	bore	irreg
ɹ.i.p.ɔ.ɹ.t	ɹ.i.p.ɔ.ɹ.t.ʌ.d	1882	report	reported	reg
ɪ.k.s.p.ɹ.ɛ.s	ɪ.k.s.p.ɹ.ɛ.s.t	1874	express	expressed	reg
d.i.l	d.ɛ.l.t	1871	deal	dealt	irreg
ɹ.i.m.u.v	ɹ.i.m.u.v.d	1865	remove	removed	reg
d.ɪ.s.t.ɹ.ɔɪ	d.ɪ.s.t.ɹ.ɔɪ.d	1860	destroy	destroyed	reg
ɹ.ʌ.g.ɑ.ɹ.d	ɹ.ʌ.g.ɑ.ɹ.d.ʌ.d	1860	regard	regarded	reg
ɹ.ɛ.p.ɹ.ʌ.z.ɛ.n.t	ɹ.ɛ.p.ɹ.ʌ.z.ɛ.n.t.ʌ.d	1829	represent	represented	reg
h.aɪ.d	h.ɪ.d	1804	hide	hid	irreg
p.l.eɪ.s	p.l.eɪ.s.t	1802	place	placed	reg
k.l.eɪ.m	k.l.eɪ.m.d	1794	claim	claimed	reg
p.ɹ.ɛ.z.ʌ.n.t	p.ɹ.i.z.ɛ.n.t.ʌ.d	1773	present	presented	reg
t.ɹ.i.t	t.ɹ.i.t.ʌ.d	1764	treat	treated	reg
ʌ.d.m.ɪ.t	ʌ.d.m.ɪ.t.ʌ.d	1747	admit	admitted	reg
w.ɚ.i	w.ɚ.i.d	1727	worry	worried	reg
f.l.aɪ	f.l.u	1715	fly	flew	irreg
m.eɪ.n.t.eɪ.n	m.eɪ.n.t.eɪ.n.d	1713	maintain	maintained	reg
t.ɹ.æ.v.ʌ.l	t.ɹ.æ.v.ʌ.l.d	1702	travel	travelled	reg
ɪ.m.p.ɹ.u.v	ɪ.m.p.ɹ.u.v.d	1685	improve	improved	reg
s.t.ɪ.k	s.t.ʌ.k	1683	stick	stuck	irreg
p.ɹ.ɪ.v.ɛ.n.t	p.ɹ.ɪ.v.ɛ.n.t.ɪ.d	1676	prevent	prevented	reg
w.ɑ.ʃ	w.ɑ.ʃ.t	1663	wash	washed	reg
k.l.aɪ.m	k.l.aɪ.m.d	1643	climb	climbed	reg
h.eɪ.t	h.eɪ.t.ʌ.d	1643	hate	hated	reg
ɪ.n.t.ɹ.ʌ.d.u.s	ɪ.n.t.ɹ.ʌ.d.u.s.t	1626	introduce	introduced	reg
ɹ.ɪ.ŋ	ɹ.æ.ŋ	1625	ring	rang	irreg
m.æ.t.ɚ	m.æ.t.ɚ.d	1622	matter	mattered	reg
s.ɚ.v.aɪ.v	s.ɚ.v.aɪ.v.d	1603	survive	survived	reg
oʊ.n	oʊ.n.d	1599	own	owned	reg
ɚ.eɪ.n.dʒ	ɚ.eɪ.n.dʒ.d	1587	arrange	arranged	reg
l.ɪ.f.t	l.ɪ.f.t.ʌ.d	1578	lift	lifted	reg
b.ɚ.n	b.ɚ.n.d	1577	burn	burned	reg
b.ɚ.n	b.ɚ.n.t	1577	burn	burnt	irreg
g.eɪ.n	g.eɪ.n.d	1567	gain	gained	reg
p.ɹ.ɛ.s	p.ɹ.ɛ.s.t	1567	press	pressed	reg
d.ɪ.z.aɪ.n	d.ɪ.z.aɪ.n.d	1561	design	designed	reg
k.ʌ.n.t.ɹ.oʊ.l	k.ʌ.n.t.ɹ.oʊ.l.d	1549	control	controlled	reg
p.ʌ.b.l.ɪ.ʃ	p.ʌ.b.l.ɪ.ʃ.t	1545	publish	published	reg
ɔ.ɹ.d.ɚ	ɔ.ɹ.d.ɚ.d	1541	order	ordered	reg
p.ɹ.ʌ.t.ɛ.k.t	p.ɹ.ʌ.t.ɛ.k.t.ɪ.d	1534	protect	protected	reg
m.ɪ.s	m.ɪ.s.t	1527	miss	missed	reg
ɹ.ɪ.p.l.aɪ	ɹ.ɪ.p.l.aɪ.d	1517	reply	replied	reg
k.ʌ.m.p.ɛ.ɹ	k.ʌ.m.p.ɛ.ɹ.d	1511	compare	compared	reg
b.l.oʊ	b.l.u	1507	blow	blew	irreg
ʃ.aʊ.t	ʃ.aʊ.t.ʌ.d	1504	shout	shouted	reg
tʃ.ɛ.k	tʃ.ɛ.k.t	1488	check	checked	reg
b.ɪ.l.ɔ.ŋ	b.ɪ.l.ɔ.ŋ.d	1483	belong	belonged	reg
ɑ.p.ɚ.eɪ.t	ɑ.p.ɚ.eɪ.t.ʌ.d	1476	operate	operated	reg
p.ɹ.ʌ.f.ɚ	p.ɹ.ʌ.f.ɚ.d	1472	prefer	preferred	reg
d.ɹ.ɛ.s	d.ɹ.ɛ.s.t	1467	dress	dressed	reg
d.ɪ.m.æ.n.d	d.ɪ.m.æ.n.d.ʌ.d	1433	demand	demanded	reg
ɪ.m.ɚ.dʒ	ɪ.m.ɚ.dʒ.d	1433	emerge	emerged	reg
s.ɛ.t.ʌ.l	s.ɛ.t.ʌ.l.d	1428	settle	settled	reg
ʌ.p.ɹ.oʊ.tʃ	ʌ.p.ɹ.oʊ.tʃ.t	1427	approach	approached	reg
ɪ.n.t.ɛ.n.d	ɪ.n.t.ɛ.n.d.ɪ.d	1425	intend	intended	reg
p.ɹ.i.p.ɛ.ɹ	p.ɹ.i.p.ɛ.ɹ.d	1423	prepare	prepared	reg
n.ɑ.d	n.ɑ.d.ʌ.d	1413	nod	nodded	reg
p.ɔ.ɹ	p.ɔ.ɹ.d	1413	pour	poured	reg
ɹ.ɪ.v.i.l	ɹ.ɪ.v.i.l.d	1412	reveal	revealed	reg
f.ɪ.ɹ	f.ɪ.ɹ.d	1410	fear	feared	reg
s.ɪ.ŋ	s.æ.ŋ	1407	sing	sang	irreg
ʌ.t.ɛ.m.p.t	ʌ.t.ɛ.m.p.t.ʌ.d	1404	attempt	attempted	reg
p.ɚ.f.ɔ.ɹ.m	p.ɚ.f.ɔ.ɹ.m.d	1398	perform	performed	reg
ɹ.ʌ.f.l.ɛ.k.t	ɹ.ʌ.f.l.ɛ.k.t.ʌ.d	1396	reflect	reflected	reg
ɪ.n.s.ɪ.s.t	ɪ.n.s.ɪ.s.t.ʌ.d	1393	insist	insisted	reg
ɪ.g.z.æ.m.ɪ.n	ɪ.g.z.æ.m.ʌ.n.d	1387	examine	examined	reg
g.ɛ.s	g.ɛ.s.t	1384	guess	guessed	reg
g.æ.ð.ɚ	g.æ.ð.ɚ.d	1369	gather	gathered	reg
p.ɹ.ɑ.m.ʌ.s	p.ɹ.ɑ.m.ʌ.s.t	1355	promise	promised	reg
k.ɹ.ɔ.s	k.ɹ.ɔ.s.t	1353	cross	crossed	reg
ɹ.i.p.l.eɪ.s	ɹ.i.p.l.eɪ.s.t	1349	replace	replaced	reg
ɪ.n.d.ʌ.k.eɪ.t	ɪ.n.d.ʌ.k.eɪ.t.ʌ.d	1348	indicate	indicated	reg
f.ɪ.t	f.ɪ.t.ʌ.d	1343	fit	fitted	irreg
ʌ.t.ɛ.n.d	ʌ.t.ɛ.n.d.ʌ.d	1340	attend	attended	reg
ʃ.u.t	ʃ.ɑ.t	1336	shoot	shot	irreg
ʌ.n.aʊ.n.s	ʌ.n.aʊ.n.s.t	1334	announce	announced	reg
ɪ.k.s.t.ɛ.n.d	ɪ.k.s.t.ɛ.n.d.ʌ.d	1330	extend	extended	reg
ʌ.f.ɛ.k.t	ʌ.f.ɛ.k.t.ɪ.d	1323	affect	affected	reg
l.i.n	l.i.n.d	1290	lean	leaned	reg
ɹ.oʊ.l	ɹ.oʊ.l.d	1287	roll	rolled	reg
p.eɪ.n.t	p.eɪ.n.t.ʌ.d	1285	paint	painted	reg
k.ʊ.k	k.ʊ.k.t	1284	cook	cooked	reg
l.æ.s.t	l.æ.s.t.ʌ.d	1266	last	lasted	reg
ɪ.g.n.ɔ.ɹ	ɪ.g.n.ɔ.ɹ.d	1264	ignore	ignored	reg
h.æ.n.d	h.æ.n.d.ʌ.d	1258	hand	handed	reg
ʌ.t.æ.k	ʌ.t.æ.k.t	1255	attack	attacked	reg
k.ʌ.l.ɛ.k.t	k.ʌ.l.ɛ.k.t.ʌ.d	1252	collect	collected	reg
ʌ.b.z.ɚ.v	ʌ.b.z.ɚ.v.d	1235	observe	observed	reg
d.ɪ.s.ʌ.p.ɪ.ɹ	d.ɪ.s.ʌ.p.ɪ.ɹ.d	1234	disappear	disappeared	reg
aɪ.d.ɛ.n.t.ʌ.f.aɪ	aɪ.d.ɛ.n.t.ʌ.f.aɪ.d	1223	identify	identified	reg
s.t.ɹ.ɛ.tʃ	s.t.ɹ.ɛ.tʃ.t	1209	stretch	stretched	reg
ʌ.b.t.eɪ.n	ʌ.b.t.eɪ.n.d	1207	obtain	obtained	reg
dʒ.ʌ.m.p	dʒ.ʌ.m.p.t	1195	jump	jumped	reg
h.æ.n.d.ʌ.l	h.æ.n.d.ʌ.l.d	1193	handle	handled	reg
k.ɑ.m.b.aɪ.n	k.ʌ.m.b.aɪ.n.d	1190	combine	combined	reg
s.ʌ.k.s.i.d	s.ʌ.k.s.i.d.ʌ.d	1187	succeed	succeeded	reg
ɹ.ɪ.p.i.t	ɹ.ɪ.p.i.t.ɪ.d	1182	repeat	repeated	reg
b.ɛ.n.d	b.ɛ.n.d.ɪ.d	1179	bend	bended	irreg
d.æ.n.s	d.æ.n.s.t	1177	dance	danced	reg
d.ɪ.n.aɪ	d.ɪ.n.aɪ.d	1172	deny	denied	reg
ɪ.n.v.aɪ.t	ɪ.n.v.aɪ.t.ʌ.d	1171	invite	invited	reg
d.ɪ.v.aɪ.d	d.ɪ.v.aɪ.d.ɪ.d	1146	divide	divided	reg
p.ɹ.ʌ.p.oʊ.z	p.ɹ.ʌ.p.oʊ.z.d	1132	propose	proposed	reg
s.ʌ.s.p.ɛ.k.t	s.ʌ.s.p.ɛ.k.t.ʌ.d	1131	suspect	suspected	reg
θ.ɹ.ɛ.t.ʌ.n	θ.ɹ.ɛ.t.ʌ.n.d	1127	threaten	threatened	reg
m.aɪ.n.d	m.aɪ.n.d.ʌ.d	1126	mind	minded	reg
k.aʊ.n.t	k.aʊ.n.t.ɪ.d	1122	count	counted	reg
ʌ.f.ɔ.ɹ.d	ʌ.f.ɔ.ɹ.d.ʌ.d	1119	afford	afforded	reg
ɔ.ɹ.g.ʌ.n.aɪ.z	ɔ.ɹ.g.ʌ.n.aɪ.z.d	1118	organize	organized	reg
ɛ.m.p.l.ɔɪ	ɛ.m.p.l.ɔɪ.d	1110	employ	employed	reg
l.ɑ.k	l.ɑ.k.t	1104	lock	locked	reg
t.ɛ.ɹ	t.ɔ.ɹ	1101	tear	tore	irreg
s.l.ɪ.p	s.l.ɪ.p.t	1100	slip	slipped	reg
t.aɪ	t.aɪ.d	1100	tie	tied	reg
ɹ.i.m.aɪ.n.d	ɹ.i.m.aɪ.n.d.ʌ.d	1093	remind	reminded	reg
ɚ.aɪ.z	ɚ.oʊ.z	1088	arise	arose	irreg
k.ɑ.n.s.ʌ.n.t.ɹ.eɪ.t	k.ɑ.n.s.ʌ.n.t.ɹ.eɪ.t.ʌ.d	1084	concentrate	concentrated	reg
k.l.i.n	k.l.i.n.d	1083	clean	cleaned	reg
ʌ.p.oʊ.z	ʌ.p.oʊ.z.d	1081	oppose	opposed	reg
ɪ.s.k.eɪ.p	ɪ.s.k.eɪ.p.t	1079	escape	escaped	reg
ɹ.ɪ.dʒ.ɛ.k.t	ɹ.ɪ.dʒ.ɛ.k.t.ɪ.d	1074	reject	rejected	reg
n.oʊ.t	n.oʊ.t.ʌ.d	1072	note	noted	reg
t.ɹ.eɪ.n	t.ɹ.eɪ.n.d	1059	train	trained	reg
k.ɪ.s	k.ɪ.s.t	1056	kiss	kissed	reg
ɛ.n.ʃ.ʊ.ɹ	ɛ.n.ʃ.ʊ.ɹ.d	1051	ensure	ensured	reg
ʌ.d.ɑ.p.t	ʌ.d.ɑ.p.t.ʌ.d	1048	adopt	adopted	reg
b.ɑ.ð.ɚ	b.ɑ.ð.ɚ.d	1047	bother	bothered	reg
n.eɪ.m	n.eɪ.m.d	1039	name	named	reg
ɹ.i.l.i.s	ɹ.i.l.i.s.t	1036	release	released	reg
ʌ.k.w.aɪ.ɚ	ʌ.k.w.aɪ.ɚ.d	1035	acquire	acquired	reg
ɹ.ɪ.z.ʌ.l.t	ɹ.ɪ.z.ʌ.l.t.ɪ.d	1034	result	resulted	reg
v.oʊ.t	v.oʊ.t.ʌ.d	1031	vote	voted	reg
s.t.ɛ.p	s.t.ɛ.p.t	1030	step	stepped	reg
ɹ.aɪ.d	ɹ.oʊ.d	1019	ride	rode	irreg
s.æ.t.ʌ.s.f.aɪ	s.æ.t.ʌ.s.f.aɪ.d	1016	satisfy	satisfied	reg
v.ɛ.ɹ.i	v.ɛ.ɹ.i.d	1010	vary	varied	reg
s.w.ɪ.ŋ	s.w.ʌ.ŋ	1001	swing	swung	irreg
d.ɪ.f.aɪ.n	d.ɪ.f.aɪ.n.d	990	define	defined	reg
