1p.prs	1p.pst	3p.prs	3p.pst
æ.k.t.ə.v.eɪ.t	æ.k.t.ə.v.eɪ.t.ə.d	æ.k.t.ə.v.eɪ.t.s	æ.k.t.ə.v.eɪ.t.ə.d
p.ɚ.f.ɚ.eɪ.t	p.ɚ.f.ɚ.eɪ.t.ə.d	p.ɚ.f.ɚ.eɪ.t.s	p.ɚ.f.ɚ.eɪ.t.ə.d
p.ɚ.f.ɔ.ɹ.m	p.ɚ.f.ɔ.ɹ.m.d	p.ɚ.f.ɔ.ɹ.m.z	p.ɚ.f.ɔ.ɹ.m.d
ə.d.æ.p.t	ə.d.æ.p.t.ə.d	ə.d.æ.p.t.s	ə.d.æ.p.t.ə.d
p.ɚ.f.j.u.m	p.ɚ.f.j.u.m.d	p.ɚ.f.j.u.m.z	p.ɚ.f.j.u.m.d
æ.d	æ.d.ə.d	æ.d.z	æ.d.ə.d
ə.d.ɪ.k.t	ə.d.ɪ.k.t.ə.d	ə.d.ɪ.k.t.s	ə.d.ɪ.k.t.ə.d
p.ɚ.dʒ.ɚ	p.ɚ.dʒ.ɚ.d	p.ɚ.dʒ.ɚ.z	p.ɚ.dʒ.ɚ.d
p.ɚ.k	p.ɚ.k.t	p.ɚ.k.s	p.ɚ.k.t
ə.dʒ.ɚ.n	ə.dʒ.ɚ.n.d	ə.dʒ.ɚ.n.z	ə.dʒ.ɚ.n.d
ə.dʒ.ʌ.s.t	ə.dʒ.ʌ.s.t.ə.d	ə.dʒ.ʌ.s.t.s	ə.dʒ.ʌ.s.t.ə.d
p.ɚ.m.i.eɪ.t	p.ɚ.m.i.eɪ.t.ə.d	p.ɚ.m.i.eɪ.t.s	p.ɚ.m.i.eɪ.t.ə.d
p.ɚ.m.ɪ.t	p.ɚ.m.ɪ.t.ə.d	p.ɚ.m.ɪ.t.s	p.ɚ.m.ɪ.t.ə.d
p.ɚ.p.ə.t.ɹ.eɪ.t	p.ɚ.p.ə.t.ɹ.eɪ.t.ə.d	p.ɚ.p.ə.t.ɹ.eɪ.t.s	p.ɚ.p.ə.t.ɹ.eɪ.t.ə.d
ə.d.m.ɪ.t	ə.d.m.ɪ.t.ə.d	ə.d.m.ɪ.t.s	ə.d.m.ɪ.t.ə.d
p.ɚ.p.ɛ.tʃ.ə.w.eɪ.t	p.ɚ.p.ɛ.tʃ.ə.w.eɪ.t.ə.d	p.ɚ.p.ɛ.tʃ.ə.w.eɪ.t.s	p.ɚ.p.ɛ.tʃ.ə.w.eɪ.t.ə.d
p.ɚ.p.l.ɛ.k.s	p.ɚ.p.l.ɛ.k.s.t	p.ɚ.p.l.ɛ.k.s.ə.z	p.ɚ.p.l.ɛ.k.s.t
p.ɚ.s.ə.k.j.u.t	p.ɚ.s.ə.k.j.u.t.ə.d	p.ɚ.s.ə.k.j.u.t.s	p.ɚ.s.ə.k.j.u.t.ə.d
ə.d.ɑ.p.t	ə.d.ɑ.p.t.ə.d	ə.d.ɑ.p.t.s	ə.d.ɑ.p.t.ə.d
p.ɚ.s.ə.v.ɪ.ɹ	p.ɚ.s.ə.v.ɪ.ɹ.d	p.ɚ.s.ə.v.ɪ.ɹ.z	p.ɚ.s.ə.v.ɪ.ɹ.d
ə.d.ɔ.ɹ	ə.d.ɔ.ɹ.d	ə.d.ɔ.ɹ.z	ə.d.ɔ.ɹ.d
ə.d.ɔ.ɹ.n	ə.d.ɔ.ɹ.n.d	ə.d.ɔ.ɹ.n.z	ə.d.ɔ.ɹ.n.d
p.ɚ.s.ɪ.s.t	p.ɚ.s.ɪ.s.t.ə.d	p.ɚ.s.ɪ.s.t.s	p.ɚ.s.ɪ.s.t.ə.d
ə.d.ʌ.l.t.ɚ.eɪ.t	ə.d.ʌ.l.t.ɚ.eɪ.t.ə.d	ə.d.ʌ.l.t.ɚ.eɪ.t.s	ə.d.ʌ.l.t.ɚ.eɪ.t.ə.d
p.ɚ.s.ə.n.ə.l.aɪ.z	p.ɚ.s.ə.n.ə.l.aɪ.z.d	p.ɚ.s.ə.n.ə.l.aɪ.z.ə.z	p.ɚ.s.ə.n.ə.l.aɪ.z.d
ə.d.v.æ.n.s	ə.d.v.æ.n.s.t	ə.d.v.æ.n.s.ə.z	ə.d.v.æ.n.s.t
p.ɚ.s.ɑ.n.ə.f.aɪ	p.ɚ.s.ɑ.n.ə.f.aɪ.d	p.ɚ.s.ɑ.n.ə.f.aɪ.z	p.ɚ.s.ɑ.n.ə.f.aɪ.d
æ.d.v.æ.n.t.ə.dʒ	æ.d.v.æ.n.t.ə.dʒ.d	æ.d.v.æ.n.t.ə.dʒ.ə.z	æ.d.v.æ.n.t.ə.dʒ.d
p.ɚ.s.w.eɪ.d	p.ɚ.s.w.eɪ.d.ə.d	p.ɚ.s.w.eɪ.d.z	p.ɚ.s.w.eɪ.d.ə.d
p.ɚ.t.ɚ.b	p.ɚ.t.ɚ.b.d	p.ɚ.t.ɚ.b.z	p.ɚ.t.ɚ.b.d
æ.d.v.ɚ.t.aɪ.z	æ.d.v.ɚ.t.aɪ.z.d	æ.d.v.ɚ.t.aɪ.z.ə.z	æ.d.v.ɚ.t.aɪ.z.d
p.ɚ.u.z	p.ɚ.u.z.d	p.ɚ.u.z.ə.z	p.ɚ.u.z.d
p.ɚ.v.eɪ.d	p.ɚ.v.eɪ.d.ə.d	p.ɚ.v.eɪ.d.z	p.ɚ.v.eɪ.d.ə.d
æ.d.v.aɪ.z	æ.d.v.aɪ.z.d	æ.d.v.aɪ.z.ə.z	æ.d.v.aɪ.z.d
p.ɚ.v.ɚ.t	p.ɚ.v.ɚ.t.ə.d	p.ɚ.v.ɚ.t.s	p.ɚ.v.ɚ.t.ə.d
p.ɛ.s.t.ɚ	p.ɛ.s.t.ɚ.d	p.ɛ.s.t.ɚ.z	p.ɛ.s.t.ɚ.d
p.ɛ.t	p.ɛ.t.ə.d	p.ɛ.t.s	p.ɛ.t.ə.d
p.ə.t.ɪ.ʃ.ə.n	p.ə.t.ɪ.ʃ.ə.n.d	p.ə.t.ɪ.ʃ.ə.n.z	p.ə.t.ɪ.ʃ.ə.n.d
ə.f.ɛ.k.t	ə.f.ɛ.k.t.ə.d	ə.f.ɛ.k.t.s	ə.f.ɛ.k.t.ə.d
ə.f.ɚ.m	ə.f.ɚ.m.d	ə.f.ɚ.m.z	ə.f.ɚ.m.d
ə.f.l.ɪ.k.t	ə.f.l.ɪ.k.t.ə.d	ə.f.l.ɪ.k.t.s	ə.f.l.ɪ.k.t.ə.d
ə.f.ɔ.ɹ.d	ə.f.ɔ.ɹ.d.ə.d	ə.f.ɔ.ɹ.d.z	ə.f.ɔ.ɹ.d.ə.d
ə.f.ɹ.ʌ.n.t	ə.f.ɹ.ʌ.n.t.ə.d	ə.f.ɹ.ʌ.n.t.s	ə.f.ɹ.ʌ.n.t.ə.d
f.eɪ.z	f.eɪ.z.d	f.eɪ.z.ə.z	f.eɪ.z.d
eɪ.dʒ	eɪ.dʒ.d	eɪ.dʒ.ə.z	eɪ.dʒ.d
æ.g.ɹ.ə.v.eɪ.t	æ.g.ɹ.ə.v.eɪ.t.ə.d	æ.g.ɹ.ə.v.eɪ.t.s	æ.g.ɹ.ə.v.eɪ.t.ə.d
f.oʊ.n	f.oʊ.n.d	f.oʊ.n.z	f.oʊ.n.d
æ.g.ə.n.aɪ.z	æ.g.ə.n.aɪ.z.d	æ.g.ə.n.aɪ.z.ə.z	æ.g.ə.n.aɪ.z.d
f.oʊ.t.oʊ.k.ɑ.p.i	f.oʊ.t.oʊ.k.ɑ.p.i.d	f.oʊ.t.oʊ.k.ɑ.p.i.z	f.oʊ.t.oʊ.k.ɑ.p.i.d
ə.g.ɹ.i	ə.g.ɹ.i.d	ə.g.ɹ.i.z	ə.g.ɹ.i.d
f.oʊ.t.ə.g.ɹ.æ.f	f.oʊ.t.ə.g.ɹ.æ.f.t	f.oʊ.t.ə.g.ɹ.æ.f.s	f.oʊ.t.ə.g.ɹ.æ.f.t
eɪ.d	eɪ.d.ə.d	eɪ.d.z	eɪ.d.ə.d
f.ɹ.eɪ.z	f.ɹ.eɪ.z.d	f.ɹ.eɪ.z.ə.z	f.ɹ.eɪ.z.d
eɪ.m	eɪ.m.d	eɪ.m.z	eɪ.m.d
ɛ.ɹ	ɛ.ɹ.d	ɛ.ɹ.z	ɛ.ɹ.d
p.ɪ.k	p.ɪ.k.t	p.ɪ.k.s	p.ɪ.k.t
ɛ.ɹ.l.ɪ.f.t	ɛ.ɹ.l.ɪ.f.t.ə.d	ɛ.ɹ.l.ɪ.f.t.s	ɛ.ɹ.l.ɪ.f.t.ə.d
p.ɪ.k.ə.t	p.ɪ.k.ə.t.ə.d	p.ɪ.k.ə.t.s	p.ɪ.k.ə.t.ə.d
p.ɪ.k.ə.l	p.ɪ.k.ə.l.d	p.ɪ.k.ə.l.z	p.ɪ.k.ə.l.d
p.ɪ.k.tʃ.ɚ	p.ɪ.k.tʃ.ɚ.d	p.ɪ.k.tʃ.ɚ.z	p.ɪ.k.tʃ.ɚ.d
p.i.s	p.i.s.t	p.i.s.ə.z	p.i.s.t
ə.l.ɑ.ɹ.m	ə.l.ɑ.ɹ.m.d	ə.l.ɑ.ɹ.m.z	ə.l.ɑ.ɹ.m.d
ə.l.ɚ.t	ə.l.ɚ.t.ə.d	ə.l.ɚ.t.s	ə.l.ɚ.t.ə.d
ə.l.aɪ.n	ə.l.aɪ.n.d	ə.l.aɪ.n.z	ə.l.aɪ.n.d
p.aɪ.l	p.aɪ.l.d	p.aɪ.l.z	p.aɪ.l.d
p.ɪ.l.f.ɚ	p.ɪ.l.f.ɚ.d	p.ɪ.l.f.ɚ.z	p.ɪ.l.f.ɚ.d
ə.l.eɪ	ə.l.eɪ.d	ə.l.eɪ.z	ə.l.eɪ.d
p.ɪ.l.ə.dʒ	p.ɪ.l.ə.dʒ.d	p.ɪ.l.ə.dʒ.ə.z	p.ɪ.l.ə.dʒ.d
ə.l.ɛ.dʒ	ə.l.ɛ.dʒ.d	ə.l.ɛ.dʒ.ə.z	ə.l.ɛ.dʒ.d
p.aɪ.l.ə.t	p.aɪ.l.ə.t.ə.d	p.aɪ.l.ə.t.s	p.aɪ.l.ə.t.ə.d
ə.l.i.v.i.eɪ.t	ə.l.i.v.i.eɪ.t.ə.d	ə.l.i.v.i.eɪ.t.s	ə.l.i.v.i.eɪ.t.ə.d
p.ɪ.n	p.ɪ.n.d	p.ɪ.n.z	p.ɪ.n.d
æ.l.ə.k.eɪ.t	æ.l.ə.k.eɪ.t.ə.d	æ.l.ə.k.eɪ.t.s	æ.l.ə.k.eɪ.t.ə.d
ə.l.ɑ.t	ə.l.ɑ.t.ə.d	ə.l.ɑ.t.s	ə.l.ɑ.t.ə.d
ə.l.aʊ	ə.l.aʊ.d	ə.l.aʊ.z	ə.l.aʊ.d
p.aɪ.n	p.aɪ.n.d	p.aɪ.n.z	p.aɪ.n.d
p.ɪ.ŋ	p.ɪ.ŋ.d	p.ɪ.ŋ.z	p.ɪ.ŋ.d
p.ɪ.n.p.ɔɪ.n.t	p.ɪ.n.p.ɔɪ.n.t.ə.d	p.ɪ.n.p.ɔɪ.n.t.s	p.ɪ.n.p.ɔɪ.n.t.ə.d
p.aɪ.ə.n.ɪ.ɹ	p.aɪ.ə.n.ɪ.ɹ.d	p.aɪ.ə.n.ɪ.ɹ.z	p.aɪ.ə.n.ɪ.ɹ.d
p.aɪ.p	p.aɪ.p.t	p.aɪ.p.s	p.aɪ.p.t
ɔ.l.t.ɚ	ɔ.l.t.ɚ.d	ɔ.l.t.ɚ.z	ɔ.l.t.ɚ.d
p.aɪ.ɹ.ə.t	p.aɪ.ɹ.ə.t.ə.d	p.aɪ.ɹ.ə.t.s	p.aɪ.ɹ.ə.t.ə.d
p.ɪ.t	p.ɪ.t.ə.d	p.ɪ.t.s	p.ɪ.t.ə.d
p.ɪ.tʃ	p.ɪ.tʃ.t	p.ɪ.tʃ.ə.z	p.ɪ.tʃ.t
ə.m.æ.l.g.ə.m.eɪ.t	ə.m.æ.l.g.ə.m.eɪ.t.ə.d	ə.m.æ.l.g.ə.m.eɪ.t.s	ə.m.æ.l.g.ə.m.eɪ.t.ə.d
ə.m.æ.s	ə.m.æ.s.t	ə.m.æ.s.ə.z	ə.m.æ.s.t
ə.m.eɪ.z	ə.m.eɪ.z.d	ə.m.eɪ.z.ə.z	ə.m.eɪ.z.d
æ.m.b.ə.l	æ.m.b.ə.l.d	æ.m.b.ə.l.z	æ.m.b.ə.l.d
æ.m.b.ʊ.ʃ	æ.m.b.ʊ.ʃ.t	æ.m.b.ʊ.ʃ.ə.z	æ.m.b.ʊ.ʃ.t
p.ɪ.v.ə.t	p.ɪ.v.ə.t.ə.d	p.ɪ.v.ə.t.s	p.ɪ.v.ə.t.ə.d
ə.m.ɛ.n.d	ə.m.ɛ.n.d.ə.d	ə.m.ɛ.n.d.z	ə.m.ɛ.n.d.ə.d
p.l.eɪ.s	p.l.eɪ.s.t	p.l.eɪ.s.ə.z	p.l.eɪ.s.t
p.l.eɪ.g	p.l.eɪ.g.d	p.l.eɪ.g.z	p.l.eɪ.g.d
p.l.eɪ.t	p.l.eɪ.t.ə.d	p.l.eɪ.t.s	p.l.eɪ.t.ə.d
p.l.æ.n	p.l.æ.n.d	p.l.æ.n.z	p.l.æ.n.d
p.l.eɪ.n	p.l.eɪ.n.d	p.l.eɪ.n.z	p.l.eɪ.n.d
æ.m.p.l.ə.f.aɪ	æ.m.p.l.ə.f.aɪ.d	æ.m.p.l.ə.f.aɪ.z	æ.m.p.l.ə.f.aɪ.d
ə.m.j.u.z	ə.m.j.u.z.d	ə.m.j.u.z.ə.z	ə.m.j.u.z.d
p.l.æ.n.t	p.l.æ.n.t.ə.d	p.l.æ.n.t.s	p.l.æ.n.t.ə.d
p.l.æ.s.t.ɚ	p.l.æ.s.t.ɚ.d	p.l.æ.s.t.ɚ.z	p.l.æ.s.t.ɚ.d
p.l.eɪ.t	p.l.eɪ.t.ə.d	p.l.eɪ.t.s	p.l.eɪ.t.ə.d
æ.ŋ.k.ɚ	æ.ŋ.k.ɚ.d	æ.ŋ.k.ɚ.z	æ.ŋ.k.ɚ.d
p.l.eɪ	p.l.eɪ.d	p.l.eɪ.z	p.l.eɪ.d
æ.ŋ.g.ɚ	æ.ŋ.g.ɚ.d	æ.ŋ.g.ɚ.z	æ.ŋ.g.ɚ.d
æ.ŋ.g.ə.l	æ.ŋ.g.ə.l.d	æ.ŋ.g.ə.l.z	æ.ŋ.g.ə.l.d
p.l.i.d	p.l.i.d.ə.d	p.l.i.d.z	p.l.i.d.ə.d
p.l.i.z	p.l.i.z.d	p.l.i.z.ə.z	p.l.i.z.d
p.l.ɛ.dʒ	p.l.ɛ.dʒ.d	p.l.ɛ.dʒ.ə.z	p.l.ɛ.dʒ.d
æ.n.ɛ.k.s	æ.n.ɛ.k.s.t	æ.n.ɛ.k.s.ə.z	æ.n.ɛ.k.s.t
æ.n.ə.t.eɪ.t	æ.n.ə.t.eɪ.t.ə.d	æ.n.ə.t.eɪ.t.s	æ.n.ə.t.eɪ.t.ə.d
ə.n.aʊ.n.s	ə.n.aʊ.n.s.t	ə.n.aʊ.n.s.ə.z	ə.n.aʊ.n.s.t
ə.n.ɔɪ	ə.n.ɔɪ.d	ə.n.ɔɪ.z	ə.n.ɔɪ.d
p.l.ɑ.t	p.l.ɑ.t.ə.d	p.l.ɑ.t.s	p.l.ɑ.t.ə.d
p.l.aʊ	p.l.aʊ.d	p.l.aʊ.z	p.l.aʊ.d
æ.n.s.ɚ	æ.n.s.ɚ.d	æ.n.s.ɚ.z	æ.n.s.ɚ.d
p.l.ʌ.k	p.l.ʌ.k.t	p.l.ʌ.k.s	p.l.ʌ.k.t
p.l.ʌ.g	p.l.ʌ.g.d	p.l.ʌ.g.z	p.l.ʌ.g.d
p.l.ʌ.n.dʒ	p.l.ʌ.n.dʒ.d	p.l.ʌ.n.dʒ.ə.z	p.l.ʌ.n.dʒ.d
æ.n.t.ɪ.s.ə.p.eɪ.t	æ.n.t.ɪ.s.ə.p.eɪ.t.ə.d	æ.n.t.ɪ.s.ə.p.eɪ.t.s	æ.n.t.ɪ.s.ə.p.eɪ.t.ə.d
p.l.aɪ	p.l.aɪ.d	p.l.aɪ.z	p.l.aɪ.d
p.ɑ.k.ə.t	p.ɑ.k.ə.t.ə.d	p.ɑ.k.ə.t.s	p.ɑ.k.ə.t.ə.d
p.ɔɪ.n.t	p.ɔɪ.n.t.ə.d	p.ɔɪ.n.t.s	p.ɔɪ.n.t.ə.d
p.ɔɪ.z.ə.n	p.ɔɪ.z.ə.n.d	p.ɔɪ.z.ə.n.z	p.ɔɪ.z.ə.n.d
p.oʊ.k	p.oʊ.k.t	p.oʊ.k.s	p.oʊ.k.t
ə.p.ɑ.l.ə.dʒ.aɪ.z	ə.p.ɑ.l.ə.dʒ.aɪ.z.d	ə.p.ɑ.l.ə.dʒ.aɪ.z.ə.z	ə.p.ɑ.l.ə.dʒ.aɪ.z.d
p.oʊ.l.ɚ.aɪ.z	p.oʊ.l.ɚ.aɪ.z.d	p.oʊ.l.ɚ.aɪ.z.ə.z	p.oʊ.l.ɚ.aɪ.z.d
p.ə.l.i.s	p.ə.l.i.s.t	p.ə.l.i.s.ə.z	p.ə.l.i.s.t
ə.p.i.l	ə.p.i.l.d	ə.p.i.l.z	ə.p.i.l.d
ə.p.ɪ.ɹ	ə.p.ɪ.ɹ.d	ə.p.ɪ.ɹ.z	ə.p.ɪ.ɹ.d
ə.p.l.ɔ.d	ə.p.l.ɔ.d.ə.d	ə.p.l.ɔ.d.z	ə.p.l.ɔ.d.ə.d
ə.p.l.aɪ	ə.p.l.aɪ.d	ə.p.l.aɪ.z	ə.p.l.aɪ.d
ə.p.ɔɪ.n.t	ə.p.ɔɪ.n.t.ə.d	ə.p.ɔɪ.n.t.s	ə.p.ɔɪ.n.t.ə.d
p.oʊ.l	p.oʊ.l.d	p.oʊ.l.z	p.oʊ.l.d
p.ɑ.l.ə.n.eɪ.t	p.ɑ.l.ə.n.eɪ.t.ə.d	p.ɑ.l.ə.n.eɪ.t.s	p.ɑ.l.ə.n.eɪ.t.ə.d
ə.p.ɹ.eɪ.z	ə.p.ɹ.eɪ.z.d	ə.p.ɹ.eɪ.z.ə.z	ə.p.ɹ.eɪ.z.d
p.ə.l.u.t	p.ə.l.u.t.ə.d	p.ə.l.u.t.s	p.ə.l.u.t.ə.d
ə.p.ɹ.i.ʃ.i.eɪ.t	ə.p.ɹ.i.ʃ.i.eɪ.t.ə.d	ə.p.ɹ.i.ʃ.i.eɪ.t.s	ə.p.ɹ.i.ʃ.i.eɪ.t.ə.d
ə.p.ɹ.ɛ.n.t.ə.s	ə.p.ɹ.ɛ.n.t.ə.s.t	ə.p.ɹ.ɛ.n.t.ə.s.ə.z	ə.p.ɹ.ɛ.n.t.ə.s.t
ə.p.ɹ.aɪ.z	ə.p.ɹ.aɪ.z.d	ə.p.ɹ.aɪ.z.ə.z	ə.p.ɹ.aɪ.z.d
ə.p.ɹ.oʊ.tʃ	ə.p.ɹ.oʊ.tʃ.t	ə.p.ɹ.oʊ.tʃ.ə.z	ə.p.ɹ.oʊ.tʃ.t
ə.p.ɹ.u.v	ə.p.ɹ.u.v.d	ə.p.ɹ.u.v.z	ə.p.ɹ.u.v.d
p.ɑ.n.d.ɚ	p.ɑ.n.d.ɚ.d	p.ɑ.n.d.ɚ.z	p.ɑ.n.d.ɚ.d
p.ɑ.n.t.ɪ.f.ə.k.eɪ.t	p.ɑ.n.t.ɪ.f.ə.k.eɪ.t.ə.d	p.ɑ.n.t.ɪ.f.ə.k.eɪ.t.s	p.ɑ.n.t.ɪ.f.ə.k.eɪ.t.ə.d
ɑ.ɹ.b.ə.t.ɹ.eɪ.t	ɑ.ɹ.b.ə.t.ɹ.eɪ.t.ə.d	ɑ.ɹ.b.ə.t.ɹ.eɪ.t.s	ɑ.ɹ.b.ə.t.ɹ.eɪ.t.ə.d
p.u.l	p.u.l.d	p.u.l.z	p.u.l.d
