Present_Transcription	Past_Transcription
ɹ.ɪ.d.u.s	ɹ.ɪ.d.u.s.t
ʌ.tʃ.i.v	ʌ.tʃ.i.v.d
s.ʌ.p.ɔ.ɹ.t	s.ʌ.p.ɔ.ɹ.t.ʌ.d
ʌ.p.l.aɪ	ʌ.p.l.aɪ.d
s.t.ʌ.d.i	s.t.ʌ.d.i.d
θ.æ.ŋ.k	θ.æ.ŋ.k.t
ʌ.v.ɔɪ.d	ʌ.v.ɔɪ.d.ɪ.d
ɹ.ʌ.f.j.u.z	ɹ.ʌ.f.j.u.z.d
m.ɛ.n.ʃ.ʌ.n	m.ɛ.n.ʃ.ʌ.n.d
ʌ.k.ɔ.ɹ.d	ʌ.k.ɔ.ɹ.d.ɪ.d
v.ɪ.z.ɪ.t	v.ɪ.z.ɪ.t.ɪ.d
ʌ.s.u.m	ʌ.s.u.m.d
t.ʌ.tʃ	t.ʌ.tʃ.t
ɛ.n.k.ɚ.ɪ.dʒ	ɛ.n.k.ɚ.ɪ.dʒ.d
b.ɛ.ɹ	b.ɔ.ɹ
ɹ.i.p.ɔ.ɹ.t	ɹ.i.p.ɔ.ɹ.t.ʌ.d
ɪ.k.s.p.ɹ.ɛ.s	ɪ.k.s.p.ɹ.ɛ.s.t
d.i.l	d.ɛ.l.t
ɹ.i.m.u.v	ɹ.i.m.u.v.d
d.ɪ.s.t.ɹ.ɔɪ	d.ɪ.s.t.ɹ.ɔɪ.d
ɹ.ʌ.g.ɑ.ɹ.d	ɹ.ʌ.g.ɑ.ɹ.d.ʌ.d
ɹ.ɛ.p.ɹ.ʌ.z.ɛ.n.t	ɹ.ɛ.p.ɹ.ʌ.z.ɛ.n.t.ʌ.d
h.aɪ.d	h.ɪ.d
p.l.eɪ.s	p.l.eɪ.s.t
k.l.eɪ.m	k.l.eɪ.m.d
p.ɹ.ɛ.z.ʌ.n.t	p.ɹ.i.z.ɛ.n.t.ʌ.d
t.ɹ.i.t	t.ɹ.i.t.ʌ.d
ʌ.d.m.ɪ.t	ʌ.d.m.ɪ.t.ʌ.d
w.ɚ.i	w.ɚ.i.d
f.l.aɪ	f.l.u
m.eɪ.n.t.eɪ.n	m.eɪ.n.t.eɪ.n.d
t.ɹ.æ.v.ʌ.l	t.ɹ.æ.v.ʌ.l.d
ɪ.m.p.ɹ.u.v	ɪ.m.p.ɹ.u.v.d
s.t.ɪ.k	s.t.ʌ.k
p.ɹ.ɪ.v.ɛ.n.t	p.ɹ.ɪ.v.ɛ.n.t.ɪ.d
w.ɑ.ʃ	w.ɑ.ʃ.t
k.l.aɪ.m	k.l.aɪ.m.d
h.eɪ.t	h.eɪ.t.ʌ.d
ɪ.n.t.ɹ.ʌ.d.u.s	ɪ.n.t.ɹ.ʌ.d.u.s.t
ɹ.ɪ.ŋ	ɹ.æ.ŋ
m.æ.t.ɚ	m.æ.t.ɚ.d
s.ɚ.v.aɪ.v	s.ɚ.v.aɪ.v.d
oʊ.n	oʊ.n.d
ɚ.eɪ.n.dʒ	ɚ.eɪ.n.dʒ.d
l.ɪ.f.t	l.ɪ.f.t.ʌ.d
b.ɚ.n	b.ɚ.n.d
b.ɚ.n	b.ɚ.n.t
g.eɪ.n	g.eɪ.n.d
p.ɹ.ɛ.s	p.ɹ.ɛ.s.t
d.ɪ.z.aɪ.n	d.ɪ.z.aɪ.n.d
k.ʌ.n.t.ɹ.oʊ.l	k.ʌ.n.t.ɹ.oʊ.l.d
p.ʌ.b.l.ɪ.ʃ	p.ʌ.b.l.ɪ.ʃ.t
ɔ.ɹ.d.ɚ	ɔ.ɹ.d.ɚ.d
p.ɹ.ʌ.t.ɛ.k.t	p.ɹ.ʌ.t.ɛ.k.t.ɪ.d
m.ɪ.s	m.ɪ.s.t
ɹ.ɪ.p.l.aɪ	ɹ.ɪ.p.l.aɪ.d
k.ʌ.m.p.ɛ.ɹ	k.ʌ.m.p.ɛ.ɹ.d
b.l.oʊ	b.l.u
ʃ.aʊ.t	ʃ.aʊ.t.ʌ.d
tʃ.ɛ.k	tʃ.ɛ.k.t
b.ɪ.l.ɔ.ŋ	b.ɪ.l.ɔ.ŋ.d
ɑ.p.ɚ.eɪ.t	ɑ.p.ɚ.eɪ.t.ʌ.d
p.ɹ.ʌ.f.ɚ	p.ɹ.ʌ.f.ɚ.d
d.ɹ.ɛ.s	d.ɹ.ɛ.s.t
d.ɪ.m.æ.n.d	d.ɪ.m.æ.n.d.ʌ.d
ɪ.m.ɚ.dʒ	ɪ.m.ɚ.dʒ.d
s.ɛ.t.ʌ.l	s.ɛ.t.ʌ.l.d
ʌ.p.ɹ.oʊ.tʃ	ʌ.p.ɹ.oʊ.tʃ.t
ɪ.n.t.ɛ.n.d	ɪ.n.t.ɛ.n.d.ɪ.d
p.ɹ.i.p.ɛ.ɹ	p.ɹ.i.p.ɛ.ɹ.d
n.ɑ.d	n.ɑ.d.ʌ.d
p.ɔ.ɹ	p.ɔ.ɹ.d
ɹ.ɪ.v.i.l	ɹ.ɪ.v.i.l.d
f.ɪ.ɹ	f.ɪ.ɹ.d
s.ɪ.ŋ	s.æ.ŋ
ʌ.t.ɛ.m.p.t	ʌ.t.ɛ.m.p.t.ʌ.d
p.ɚ.f.ɔ.ɹ.m	p.ɚ.f.ɔ.ɹ.m.d
ɹ.ʌ.f.l.ɛ.k.t	ɹ.ʌ.f.l.ɛ.k.t.ʌ.d
ɪ.n.s.ɪ.s.t	ɪ.n.s.ɪ.s.t.ʌ.d
ɪ.g.z.æ.m.ɪ.n	ɪ.g.z.æ.m.ʌ.n.d
g.ɛ.s	g.ɛ.s.t
g.æ.ð.ɚ	g.æ.ð.ɚ.d
p.ɹ.ɑ.m.ʌ.s	p.ɹ.ɑ.m.ʌ.s.t
k.ɹ.ɔ.s	k.ɹ.ɔ.s.t
ɹ.i.p.l.eɪ.s	ɹ.i.p.l.eɪ.s.t
ɪ.n.d.ʌ.k.eɪ.t	ɪ.n.d.ʌ.k.eɪ.t.ʌ.d
f.ɪ.t	f.ɪ.t.ʌ.d
ʌ.t.ɛ.n.d	ʌ.t.ɛ.n.d.ʌ.d
ʃ.u.t	ʃ.ɑ.t
ʌ.n.aʊ.n.s	ʌ.n.aʊ.n.s.t
ɪ.k.s.t.ɛ.n.d	ɪ.k.s.t.ɛ.n.d.ʌ.d
ʌ.f.ɛ.k.t	ʌ.f.ɛ.k.t.ɪ.d
l.i.n	l.i.n.d
ɹ.oʊ.l	ɹ.oʊ.l.d
p.eɪ.n.t	p.eɪ.n.t.ʌ.d
k.ʊ.k	k.ʊ.k.t
l.æ.s.t	l.æ.s.t.ʌ.d
ɪ.g.n.ɔ.ɹ	ɪ.g.n.ɔ.ɹ.d
h.æ.n.d	h.æ.n.d.ʌ.d
ʌ.t.æ.k	ʌ.t.æ.k.t
k.ʌ.l.ɛ.k.t	k.ʌ.l.ɛ.k.t.ʌ.d
ʌ.b.z.ɚ.v	ʌ.b.z.ɚ.v.d
d.ɪ.s.ʌ.p.ɪ.ɹ	d.ɪ.s.ʌ.p.ɪ.ɹ.d
aɪ.d.ɛ.n.t.ʌ.f.aɪ	aɪ.d.ɛ.n.t.ʌ.f.aɪ.d
s.t.ɹ.ɛ.tʃ	s.t.ɹ.ɛ.tʃ.t
ʌ.b.t.eɪ.n	ʌ.b.t.eɪ.n.d
dʒ.ʌ.m.p	dʒ.ʌ.m.p.t
h.æ.n.d.ʌ.l	h.æ.n.d.ʌ.l.d
k.ɑ.m.b.aɪ.n	k.ʌ.m.b.aɪ.n.d
s.ʌ.k.s.i.d	s.ʌ.k.s.i.d.ʌ.d
ɹ.ɪ.p.i.t	ɹ.ɪ.p.i.t.ɪ.d
b.ɛ.n.d	b.ɛ.n.d.ɪ.d
d.æ.n.s	d.æ.n.s.t
d.ɪ.n.aɪ	d.ɪ.n.aɪ.d
ɪ.n.v.aɪ.t	ɪ.n.v.aɪ.t.ʌ.d
d.ɪ.v.aɪ.d	d.ɪ.v.aɪ.d.ɪ.d
p.ɹ.ʌ.p.oʊ.z	p.ɹ.ʌ.p.oʊ.z.d
s.ʌ.s.p.ɛ.k.t	s.ʌ.s.p.ɛ.k.t.ʌ.d
θ.ɹ.ɛ.t.ʌ.n	θ.ɹ.ɛ.t.ʌ.n.d
m.aɪ.n.d	m.aɪ.n.d.ʌ.d
k.aʊ.n.t	k.aʊ.n.t.ɪ.d
ʌ.f.ɔ.ɹ.d	ʌ.f.ɔ.ɹ.d.ʌ.d
ɔ.ɹ.g.ʌ.n.aɪ.z	ɔ.ɹ.g.ʌ.n.aɪ.z.d
ɛ.m.p.l.ɔɪ	ɛ.m.p.l.ɔɪ.d
l.ɑ.k	l.ɑ.k.t
t.ɛ.ɹ	t.ɔ.ɹ
s.l.ɪ.p	s.l.ɪ.p.t
t.aɪ	t.aɪ.d
ɹ.i.m.aɪ.n.d	ɹ.i.m.aɪ.n.d.ʌ.d
ɚ.aɪ.z	ɚ.oʊ.z
k.ɑ.n.s.ʌ.n.t.ɹ.eɪ.t	k.ɑ.n.s.ʌ.n.t.ɹ.eɪ.t.ʌ.d
k.l.i.n	k.l.i.n.d
ʌ.p.oʊ.z	ʌ.p.oʊ.z.d
ɪ.s.k.eɪ.p	ɪ.s.k.eɪ.p.t
ɹ.ɪ.dʒ.ɛ.k.t	ɹ.ɪ.dʒ.ɛ.k.t.ɪ.d
n.oʊ.t	n.oʊ.t.ʌ.d
t.ɹ.eɪ.n	t.ɹ.eɪ.n.d
k.ɪ.s	k.ɪ.s.t
ɛ.n.ʃ.ʊ.ɹ	ɛ.n.ʃ.ʊ.ɹ.d
ʌ.d.ɑ.p.t	ʌ.d.ɑ.p.t.ʌ.d
b.ɑ.ð.ɚ	b.ɑ.ð.ɚ.d
n.eɪ.m	n.eɪ.m.d
ɹ.i.l.i.s	ɹ.i.l.i.s.t
ʌ.k.w.aɪ.ɚ	ʌ.k.w.aɪ.ɚ.d
ɹ.ɪ.z.ʌ.l.t	ɹ.ɪ.z.ʌ.l.t.ɪ.d
v.oʊ.t	v.oʊ.t.ʌ.d
s.t.ɛ.p	s.t.ɛ.p.t
ɹ.aɪ.d	ɹ.oʊ.d
s.æ.t.ʌ.s.f.aɪ	s.æ.t.ʌ.s.f.aɪ.d
v.ɛ.ɹ.i	v.ɛ.ɹ.i.d
s.w.ɪ.ŋ	s.w.ʌ.ŋ
d.ɪ.f.aɪ.n	d.ɪ.f.aɪ.n.d
d.ɪ.k.l.ɛ.ɹ	d.ɪ.k.l.ɛ.ɹ.d
k.ɑ.s.t	k.ɑ.s.t.ɪ.d
p.ɚ.s.w.eɪ.d	p.ɚ.s.w.eɪ.d.ʌ.d
ʌ.b.æ.n.d.ʌ.n	ʌ.b.æ.n.d.ʌ.n.d
t.ɛ.s.t	t.ɛ.s.t.ɪ.d
ɚ.n	ɚ.n.d
ʌ.t.ɹ.æ.k.t	ʌ.t.ɹ.æ.k.t.ʌ.d
ɛ.n.eɪ.b.ʌ.l	ɛ.n.eɪ.b.ʌ.l.d
l.aɪ.t	l.aɪ.t.ʌ.d
n.ɑ.k	n.ɑ.k.t
k.ʌ.m.ɪ.t	k.ʌ.m.ɪ.t.ɪ.d
ɹ.ɪ.l.æ.k.s	ɹ.ɪ.l.æ.k.s.t
d.ɚ.ɛ.k.t	d.ɚ.ɛ.k.t.ʌ.d
ɹ.i.k.ɔ.l	ɹ.ɪ.k.ɔ.l.d
s.t.i.l	s.t.oʊ.l
ɹ.ɛ.s.t	ɹ.ɛ.s.t.ʌ.d
ɪ.k.s.p.ɪ.ɹ.i.ʌ.n.s	ɪ.k.s.p.ɪ.ɹ.i.ʌ.n.s.t
s.ɑ.l.v	s.ɑ.l.v.d
ɹ.ʌ.k.ɔ.ɹ.d	ɹ.ʌ.k.ɔ.ɹ.d.ʌ.d
ʌ.s.oʊ.s.i.ʌ.t	ʌ.s.oʊ.s.i.eɪ.t.ʌ.d
p.ɹ.i.t.ɛ.n.d	p.ɹ.i.t.ɛ.n.d.ʌ.d
k.ʌ.m.p.l.eɪ.n	k.ʌ.m.p.l.eɪ.n.d
d.ʌ.t.ɚ.m.ʌ.n	d.ɪ.t.ɚ.m.ʌ.n.d
ɹ.ɪ.s.p.ɑ.n.d	ɹ.ɪ.s.p.ɑ.n.d.ɪ.d
s.ʌ.p.l.aɪ	s.ʌ.p.l.aɪ.d
s.w.i.p	s.w.ɛ.p.t
ɑ.k.j.ʌ.p.aɪ	ɑ.k.j.ʌ.p.aɪ.d
ɹ.ʌ.ʃ	ɹ.ʌ.ʃ.t
m.ɪ.k.s	m.ɪ.k.s.t
s.ɛ.p.ɚ.eɪ.t	s.ɛ.p.ɚ.eɪ.t.ʌ.d
s.t.eɪ.t	s.t.eɪ.t.ɪ.d
b.ɛ.ɹ.i	b.ɛ.ɹ.i.d
s.ɪ.ŋ.k	s.æ.ŋ.k
w.ɔ.ɹ.n	w.ɔ.ɹ.n.d
k.l.ɪ.ɹ	k.l.ɪ.ɹ.d
m.ɑ.ɹ.k	m.ɑ.ɹ.k.t
ʌ.t.æ.tʃ	ʌ.t.æ.tʃ.t
s.aɪ.n	s.aɪ.n.d
ɪ.k.s.p.oʊ.z	ɪ.k.s.p.oʊ.z.d
s.ɚ.aʊ.n.d	s.ɚ.aʊ.n.d.ʌ.d
p.ɹ.æ.k.t.ɪ.s	p.ɹ.æ.k.t.ɪ.s.t
s.k.ɹ.i.m	s.k.ɹ.i.m.d
d.ɹ.æ.g	d.ɹ.æ.g.d
k.ʌ.m.p.l.i.t	k.ʌ.m.p.l.i.t.ʌ.d
d.ɛ.ɹ	d.ɛ.ɹ.d
f.aɪ.ɚ	f.aɪ.ɚ.d
ʌ.k.ʌ.m.p.ʌ.n.i	ʌ.k.ʌ.m.p.ʌ.n.i.d
t.ɹ.ʌ.s.t	t.ɹ.ʌ.s.t.ɪ.d
l.oʊ.ɚ	l.oʊ.ɚ.d
d.ɹ.aɪ	d.ɹ.aɪ.d
g.l.æ.n.s	g.l.æ.n.s.t
p.ʌ.z.ɛ.s	p.ʌ.z.ɛ.s.t
s.m.ɛ.l	s.m.ɛ.l.d
s.m.ɛ.l	s.m.ɛ.l.t
s.u.t	s.u.t.ʌ.d
d.ɪ.f.ɛ.n.d	d.ɪ.f.ɛ.n.d.ʌ.d
h.ɛ.d	h.ɛ.d.ʌ.d
s.w.ɪ.m	s.w.æ.m
b.l.eɪ.m	b.l.eɪ.m.d
d.ɪ.l.ɪ.v.ɚ	d.ɪ.l.ɪ.v.ɚ.d
ɪ.k.s.p.æ.n.d	ɪ.k.s.p.æ.n.d.ʌ.d
ɪ.m.p.l.aɪ	ɪ.m.p.l.aɪ.d
b.ɪ.h.eɪ.v	b.ɪ.h.eɪ.v.d
d.ɛ.m.ʌ.n.s.t.ɹ.eɪ.t	d.ɛ.m.ʌ.n.s.t.ɹ.eɪ.t.ʌ.d
ʃ.ɪ.f.t	ʃ.ɪ.f.t.ʌ.d
w.eɪ.v	w.eɪ.v.d
s.ɚ.tʃ	s.ɚ.tʃ.t
tʃ.ɑ.ɹ.dʒ	tʃ.ɑ.ɹ.dʒ.d
ʌ.p.ɹ.u.v	ʌ.p.ɹ.u.v.d
f.ɹ.i.z	f.ɹ.oʊ.z
s.m.oʊ.k	s.m.oʊ.k.t
k.ʌ.n.f.ɚ.m	k.ʌ.n.f.ɚ.m.d
ɪ.n.g.eɪ.dʒ	ɪ.n.g.eɪ.dʒ.d
b.ɹ.i.ð	b.ɹ.i.ð.d
ɪ.m.p.oʊ.z	ɪ.m.p.oʊ.z.d
p.ɚ.s.u	p.ɚ.s.u.d
g.ɹ.æ.n.t	g.ɹ.æ.n.t.ʌ.d
æ.d.m.aɪ.ɹ	ʌ.d.m.aɪ.ɚ.d
k.oʊ.p	k.oʊ.p.t
s.t.ɹ.ʌ.g.ʌ.l	s.t.ɹ.ʌ.g.ʌ.l.d
s.w.ɪ.tʃ	s.w.ɪ.tʃ.t
d.ɪ.s.t.ɚ.b	d.ɪ.s.t.ɚ.b.d
s.ʌ.l.ɛ.k.t	s.ʌ.l.ɛ.k.t.ʌ.d
ɹ.ɛ.k.ʌ.m.ɛ.n.d	ɹ.ɛ.k.ʌ.m.ɛ.n.d.ʌ.d
w.ɪ.ð.d.ɹ.ɔ	w.ɪ.θ.d.ɹ.u
p.ɚ.m.ɪ.t	p.ɚ.m.ɪ.t.ʌ.d
æ.d.v.aɪ.z	æ.d.v.aɪ.z.d
w.ɪ.s.p.ɚ	w.ɪ.s.p.ɚ.d
b.ɔɪ.l	b.ɔɪ.l.d
k.ʌ.n.k.l.u.d	k.ʌ.n.k.l.u.d.ʌ.d
d.ɑ.m.ʌ.n.eɪ.t	d.ɑ.m.ʌ.n.eɪ.t.ʌ.d
k.ʌ.n.t.ɹ.ɪ.b.j.u.t	k.ʌ.n.t.ɹ.ɪ.b.j.u.t.ɪ.d
k.ɪ.k	k.ɪ.k.t
l.ɪ.ŋ.k	l.ɪ.ŋ.k.t
ɹ.ɪ.k.ʌ.v.ɚ	ɹ.ʌ.k.ʌ.v.ɚ.d
p.ɔ.z	p.ɔ.z.d
ɹ.ɪ.z.ɪ.s.t	ɹ.ɪ.z.ɪ.s.t.ɪ.d
s.t.ɚ	s.t.ɚ.d
m.aʊ.n.t	m.aʊ.n.t.ʌ.d
ɹ.ʌ.b	ɹ.ʌ.b.d
v.æ.n.ɪ.ʃ	v.æ.n.ɪ.ʃ.t
k.w.oʊ.t	k.w.oʊ.t.ɪ.d
p.ɹ.ʌ.s.i.d	p.ɹ.ʌ.s.i.d.ʌ.d
f.ɪ.k.s	f.ɪ.k.s.t
k.ʌ.n.ɛ.k.t	k.ʌ.n.ɛ.k.t.ɪ.d
s.ɔ.ɹ.t	s.ɔ.ɹ.t.ɪ.d
dʒ.ʌ.dʒ	dʒ.ʌ.dʒ.d
p.ɹ.ʌ.z.ɚ.v	p.ɹ.ʌ.z.ɚ.v.d
d.ɪ.g	d.ʌ.g
h.ɚ.i	h.ɚ.i.d
ɹ.ɪ.t.eɪ.n	ɹ.ɪ.t.eɪ.n.d
s.ɛ.n.s	s.ɛ.n.s.t
ɔ.l.t.ɚ	ɔ.l.t.ɚ.d
ɪ.n.f.l.u.ʌ.n.s	ɪ.n.f.l.u.ʌ.n.s.t
l.ɔ.n.tʃ	l.ɔ.n.tʃ.t
t.w.ɪ.s.t	t.w.ɪ.s.t.ʌ.d
ɚ.dʒ	ɚ.dʒ.d
ʌ.ʃ.ʊ.ɹ	ʌ.ʃ.ʊ.ɹ.d
