1p.prs	1p.pst	3p.prs	3p.pst
ʌ.k.j.u.z	ʌ.k.j.u.z.d	ʌ.k.j.u.z.ɪ.z	ʌ.k.j.u.z.d
eɪ.k	eɪ.k.t	eɪ.k.s	eɪ.k.t
ʌ.tʃ.i.v	ʌ.tʃ.i.v.d	ʌ.tʃ.i.v.z	ʌ.tʃ.i.v.d
ʌ.s.ɪ.d.ʌ.f.aɪ	ʌ.s.ɪ.d.ʌ.f.aɪ.d	ʌ.s.ɪ.d.ʌ.f.aɪ.z	ʌ.s.ɪ.d.ʌ.f.aɪ.d
æ.k.n.ɑ.l.ɪ.dʒ	æ.k.n.ɑ.l.ɪ.dʒ.d	æ.k.n.ɑ.l.ɪ.dʒ.ɪ.z	æ.k.n.ɑ.l.ɪ.dʒ.d
p.i.p.ʌ.l	p.i.p.ʌ.l.d	p.i.p.ʌ.l.z	p.i.p.ʌ.l.d
p.ɛ.p.ɚ	p.ɛ.p.ɚ.d	p.ɛ.p.ɚ.z	p.ɛ.p.ɚ.d
ʌ.k.w.aɪ.ɚ	ʌ.k.w.aɪ.ɚ.d	ʌ.k.w.aɪ.ɚ.z	ʌ.k.w.aɪ.ɚ.d
ʌ.k.w.ɪ.t	ʌ.k.w.ɪ.t.ɪ.d	ʌ.k.w.ɪ.t.s	ʌ.k.w.ɪ.t.ɪ.d
p.ɚ.s.i.v	p.ɚ.s.i.v.d	p.ɚ.s.i.v.z	p.ɚ.s.i.v.d
æ.k.t	æ.k.t.ɪ.d	æ.k.t.s	æ.k.t.ɪ.d
p.ɚ.tʃ	p.ɚ.tʃ.t	p.ɚ.tʃ.ɪ.z	p.ɚ.tʃ.t
æ.k.t.ʌ.v.eɪ.t	æ.k.t.ɪ.v.eɪ.t.ɪ.d	æ.k.t.ʌ.v.eɪ.t.s	æ.k.t.ɪ.v.eɪ.t.ɪ.d
p.ɚ.f.ɚ.eɪ.t	p.ɚ.f.ɚ.eɪ.t.ʌ.d	p.ɚ.f.ɚ.eɪ.t.s	p.ɚ.f.ɚ.eɪ.t.ʌ.d
p.ɚ.f.ɔ.ɹ.m	p.ɚ.f.ɔ.ɹ.m.d	p.ɚ.f.ɔ.ɹ.m.z	p.ɚ.f.ɔ.ɹ.m.d
ʌ.d.æ.p.t	ʌ.d.æ.p.t.ɪ.d	ʌ.d.æ.p.t.s	ʌ.d.æ.p.t.ɪ.d
p.ɚ.f.j.u.m	p.ɚ.f.j.u.m.d	p.ɚ.f.j.u.m.z	p.ɚ.f.j.u.m.d
æ.d	æ.d.ɪ.d	æ.d.z	æ.d.ɪ.d
ʌ.d.ɪ.k.t	ʌ.d.ɪ.k.t.ɪ.d	ʌ.d.ɪ.k.t.s	ʌ.d.ɪ.k.t.ɪ.d
æ.d.ɹ.ɛ.s	ʌ.d.ɹ.ɛ.s.t	æ.d.ɹ.ɛ.s.ɪ.z	ʌ.d.ɹ.ɛ.s.t
ʌ.d.h.ɪ.ɹ	æ.d.h.ɪ.ɹ.d	ʌ.d.h.ɪ.ɹ.z	æ.d.h.ɪ.ɹ.d
p.ɚ.dʒ.ɚ	p.ɚ.dʒ.ɚ.d	p.ɚ.dʒ.ɚ.z	p.ɚ.dʒ.ɚ.d
p.ɚ.k	p.ɚ.k.t	p.ɚ.k.s	p.ɚ.k.t
ʌ.dʒ.ɚ.n	ʌ.dʒ.ɚ.n.d	ʌ.dʒ.ɚ.n.z	ʌ.dʒ.ɚ.n.d
ʌ.dʒ.ʌ.s.t	ʌ.dʒ.ʌ.s.t.ɪ.d	ʌ.dʒ.ʌ.s.t.s	ʌ.dʒ.ʌ.s.t.ɪ.d
p.ɚ.m.i.eɪ.t	p.ɚ.m.i.eɪ.t.ɪ.d	p.ɚ.m.i.eɪ.t.s	p.ɚ.m.i.eɪ.t.ɪ.d
ʌ.d.m.ɪ.n.ɪ.s.t.ɚ	ʌ.d.m.ɪ.n.ɪ.s.t.ɚ.d	æ.d.m.ɪ.n.ɪ.s.t.ɚ.z	ʌ.d.m.ɪ.n.ɪ.s.t.ɚ.d
p.ɚ.m.ɪ.t	p.ɚ.m.ɪ.t.ʌ.d	p.ɚ.m.ɪ.t.s	p.ɚ.m.ɪ.t.ʌ.d
æ.d.m.aɪ.ɹ	ʌ.d.m.aɪ.ɚ.d	æ.d.m.aɪ.ɹ.z	ʌ.d.m.aɪ.ɚ.d
p.ɚ.p.ʌ.t.ɹ.eɪ.t	p.ɚ.p.ʌ.t.ɹ.eɪ.t.ɪ.d	p.ɚ.p.ʌ.t.ɹ.eɪ.t.s	p.ɚ.p.ʌ.t.ɹ.eɪ.t.ɪ.d
ʌ.d.m.ɪ.t	ʌ.d.m.ɪ.t.ʌ.d	ʌ.d.m.ɪ.t.s	ʌ.d.m.ɪ.t.ʌ.d
p.ɚ.p.ɛ.tʃ.ʌ.w.eɪ.t	p.ɚ.p.ɛ.tʃ.ʌ.w.eɪ.t.ɪ.d	p.ɚ.p.ɛ.tʃ.ʌ.w.eɪ.t.s	p.ɚ.p.ɛ.tʃ.ʌ.w.eɪ.t.ɪ.d
æ.d.m.ɑ.n.ɪ.ʃ	ʌ.d.m.ɑ.n.ɪ.ʃ.t	æ.d.m.ɑ.n.ɪ.ʃ.ɪ.z	ʌ.d.m.ɑ.n.ɪ.ʃ.t
p.ɚ.p.l.ɛ.k.s	p.ɚ.p.l.ɛ.k.s.t	p.ɚ.p.l.ɛ.k.s.ɪ.z	p.ɚ.p.l.ɛ.k.s.t
p.ɚ.s.ʌ.k.j.u.t	p.ɚ.s.ʌ.k.j.u.t.ʌ.d	p.ɚ.s.ʌ.k.j.u.t.s	p.ɚ.s.ʌ.k.j.u.t.ʌ.d
ʌ.d.ɑ.p.t	ʌ.d.ɑ.p.t.ʌ.d	ʌ.d.ɑ.p.t.s	ʌ.d.ɑ.p.t.ʌ.d
p.ɚ.s.ʌ.v.ɪ.ɹ	p.ɚ.s.ʌ.v.ɪ.ɹ.d	p.ɚ.s.ʌ.v.ɪ.ɹ.z	p.ɚ.s.ʌ.v.ɪ.ɹ.d
ʌ.d.ɔ.ɹ	ʌ.d.ɔ.ɹ.d	ʌ.d.ɔ.ɹ.z	ʌ.d.ɔ.ɹ.d
ʌ.d.ɔ.ɹ.n	ʌ.d.ɔ.ɹ.n.d	ʌ.d.ɔ.ɹ.n.z	ʌ.d.ɔ.ɹ.n.d
p.ɚ.s.ɪ.s.t	p.ɚ.s.ɪ.s.t.ɪ.d	p.ɚ.s.ɪ.s.t.s	p.ɚ.s.ɪ.s.t.ɪ.d
ʌ.d.ʌ.l.t.ɚ.eɪ.t	ʌ.d.ʌ.l.t.ɚ.eɪ.t.ɪ.d	ʌ.d.ʌ.l.t.ɚ.eɪ.t.s	ʌ.d.ʌ.l.t.ɚ.eɪ.t.ɪ.d
p.ɚ.s.ʌ.n.ʌ.l.aɪ.z	p.ɚ.s.ʌ.n.ʌ.l.aɪ.z.d	p.ɚ.s.ʌ.n.ʌ.l.aɪ.z.ɪ.z	p.ɚ.s.ʌ.n.ʌ.l.aɪ.z.d
ʌ.d.v.æ.n.s	ʌ.d.v.æ.n.s.t	ʌ.d.v.æ.n.s.ɪ.z	ʌ.d.v.æ.n.s.t
p.ɚ.s.ɑ.n.ʌ.f.aɪ	p.ɚ.s.ɑ.n.ʌ.f.aɪ.d	p.ɚ.s.ɑ.n.ʌ.f.aɪ.z	p.ɚ.s.ɑ.n.ʌ.f.aɪ.d
æ.d.v.æ.n.t.ɪ.dʒ	æ.d.v.æ.n.t.ɪ.dʒ.d	æ.d.v.æ.n.t.ɪ.dʒ.ɪ.z	æ.d.v.æ.n.t.ɪ.dʒ.d
p.ɚ.s.w.eɪ.d	p.ɚ.s.w.eɪ.d.ʌ.d	p.ɚ.s.w.eɪ.d.z	p.ɚ.s.w.eɪ.d.ʌ.d
p.ɚ.t.ɚ.b	p.ɚ.t.ɚ.b.d	p.ɚ.t.ɚ.b.z	p.ɚ.t.ɚ.b.d
æ.d.v.ɚ.t.aɪ.z	æ.d.v.ɚ.t.aɪ.z.d	æ.d.v.ɚ.t.aɪ.z.ɪ.z	æ.d.v.ɚ.t.aɪ.z.d
p.ɚ.u.z	p.ɚ.u.z.d	p.ɚ.u.z.ɪ.z	p.ɚ.u.z.d
p.ɚ.v.eɪ.d	p.ɚ.v.eɪ.d.ɪ.d	p.ɚ.v.eɪ.d.z	p.ɚ.v.eɪ.d.ɪ.d
æ.d.v.aɪ.z	æ.d.v.aɪ.z.d	æ.d.v.aɪ.z.ɪ.z	æ.d.v.aɪ.z.d
æ.d.v.ʌ.k.ʌ.t	æ.d.v.ʌ.k.eɪ.t.ɪ.d	æ.d.v.ʌ.k.ʌ.t.s	æ.d.v.ʌ.k.eɪ.t.ɪ.d
p.ɚ.v.ɚ.t	p.ɚ.v.ɚ.t.ɪ.d	p.ɚ.v.ɚ.t.s	p.ɚ.v.ɚ.t.ɪ.d
p.ɛ.s.t.ɚ	p.ɛ.s.t.ɚ.d	p.ɛ.s.t.ɚ.z	p.ɛ.s.t.ɚ.d
p.ɛ.t	p.ɛ.t.ʌ.d	p.ɛ.t.s	p.ɛ.t.ʌ.d
p.ʌ.t.ɪ.ʃ.ʌ.n	p.ʌ.t.ɪ.ʃ.ʌ.n.d	p.ʌ.t.ɪ.ʃ.ʌ.n.z	p.ʌ.t.ɪ.ʃ.ʌ.n.d
ʌ.f.ɛ.k.t	ʌ.f.ɛ.k.t.ɪ.d	ʌ.f.ɛ.k.t.s	ʌ.f.ɛ.k.t.ɪ.d
ʌ.f.ɪ.l.i.eɪ.t	ʌ.f.ɪ.l.i.eɪ.t.ɪ.d	ʌ.f.ɪ.l.i.ʌ.t.s	ʌ.f.ɪ.l.i.eɪ.t.ɪ.d
ʌ.f.ɚ.m	ʌ.f.ɚ.m.d	ʌ.f.ɚ.m.z	ʌ.f.ɚ.m.d
æ.f.ɪ.k.s	ʌ.f.ɪ.k.s.t	æ.f.ɪ.k.s.ɪ.z	ʌ.f.ɪ.k.s.t
ʌ.f.l.ɪ.k.t	ʌ.f.l.ɪ.k.t.ɪ.d	ʌ.f.l.ɪ.k.t.s	ʌ.f.l.ɪ.k.t.ɪ.d
ʌ.f.ɔ.ɹ.d	ʌ.f.ɔ.ɹ.d.ʌ.d	ʌ.f.ɔ.ɹ.d.z	ʌ.f.ɔ.ɹ.d.ʌ.d
ʌ.f.ɹ.ʌ.n.t	ʌ.f.ɹ.ʌ.n.t.ɪ.d	ʌ.f.ɹ.ʌ.n.t.s	ʌ.f.ɹ.ʌ.n.t.ɪ.d
f.eɪ.z	f.eɪ.z.d	f.eɪ.z.ʌ.z	f.eɪ.z.d
eɪ.dʒ	eɪ.dʒ.d	eɪ.dʒ.ɪ.z	eɪ.dʒ.d
æ.g.ɹ.ʌ.v.eɪ.t	æ.g.ɹ.ʌ.v.eɪ.t.ɪ.d	æ.g.ɹ.ʌ.v.eɪ.t.s	æ.g.ɹ.ʌ.v.eɪ.t.ɪ.d
f.oʊ.n	f.oʊ.n.d	f.oʊ.n.z	f.oʊ.n.d
æ.g.ɹ.ʌ.g.ʌ.t	æ.g.ɹ.ʌ.g.eɪ.t.ʌ.d	æ.g.ɹ.ʌ.g.ɪ.t.s	æ.g.ɹ.ʌ.g.eɪ.t.ʌ.d
æ.g.ʌ.n.aɪ.z	æ.g.ʌ.n.aɪ.z.d	æ.g.ʌ.n.aɪ.z.ɪ.z	æ.g.ʌ.n.aɪ.z.d
f.oʊ.t.oʊ.k.ɑ.p.i	f.oʊ.t.oʊ.k.ɑ.p.i.d	f.oʊ.t.oʊ.k.ɑ.p.i.z	f.oʊ.t.oʊ.k.ɑ.p.i.d
ʌ.g.ɹ.i	ʌ.g.ɹ.i.d	ʌ.g.ɹ.i.z	ʌ.g.ɹ.i.d
f.oʊ.t.ʌ.g.ɹ.æ.f	f.oʊ.t.ʌ.g.ɹ.æ.f.t	f.oʊ.t.ʌ.g.ɹ.æ.f.s	f.oʊ.t.ʌ.g.ɹ.æ.f.t
eɪ.d	eɪ.d.ɪ.d	eɪ.d.z	eɪ.d.ɪ.d
f.ɹ.eɪ.z	f.ɹ.eɪ.z.d	f.ɹ.eɪ.z.ʌ.z	f.ɹ.eɪ.z.d
eɪ.m	eɪ.m.d	eɪ.m.z	eɪ.m.d
ɛ.ɹ	ɛ.ɹ.d	ɛ.ɹ.z	ɛ.ɹ.d
p.ɪ.k	p.ɪ.k.t	p.ɪ.k.s	p.ɪ.k.t
ɛ.ɹ.l.ɪ.f.t	ɛ.ɹ.l.ɪ.f.t.ɪ.d	ɛ.ɹ.l.ɪ.f.t.s	ɛ.ɹ.l.ɪ.f.t.ɪ.d
p.ɪ.k.ɪ.t	p.ɪ.k.ʌ.t.ɪ.d	p.ɪ.k.ʌ.t.s	p.ɪ.k.ʌ.t.ɪ.d
p.ɪ.k.ʌ.l	p.ɪ.k.ʌ.l.d	p.ɪ.k.ʌ.l.z	p.ɪ.k.ʌ.l.d
p.ɪ.k.tʃ.ɚ	p.ɪ.k.tʃ.ɚ.d	p.ɪ.k.tʃ.ɚ.z	p.ɪ.k.tʃ.ɚ.d
p.i.s	p.i.s.t	p.i.s.ʌ.z	p.i.s.t
ʌ.l.ɑ.ɹ.m	ʌ.l.ɑ.ɹ.m.d	ʌ.l.ɑ.ɹ.m.z	ʌ.l.ɑ.ɹ.m.d
ʌ.l.ɚ.t	ʌ.l.ɚ.t.ɪ.d	ʌ.l.ɚ.t.s	ʌ.l.ɚ.t.ɪ.d
eɪ.l.j.ʌ.n.eɪ.t	eɪ.l.i.ʌ.n.eɪ.t.ɪ.d	eɪ.l.i.ʌ.n.eɪ.t.s	eɪ.l.i.ʌ.n.eɪ.t.ɪ.d
ʌ.l.aɪ.n	ʌ.l.aɪ.n.d	ʌ.l.aɪ.n.z	ʌ.l.aɪ.n.d
p.aɪ.l	p.aɪ.l.d	p.aɪ.l.z	p.aɪ.l.d
p.ɪ.l.f.ɚ	p.ɪ.l.f.ɚ.d	p.ɪ.l.f.ɚ.z	p.ɪ.l.f.ɚ.d
ʌ.l.eɪ	ʌ.l.eɪ.d	ʌ.l.eɪ.z	ʌ.l.eɪ.d
p.ɪ.l.ɪ.dʒ	p.ɪ.l.ɪ.dʒ.d	p.ɪ.l.ɪ.dʒ.ɪ.z	p.ɪ.l.ɪ.dʒ.d
ʌ.l.ɛ.dʒ	ʌ.l.ɛ.dʒ.d	ʌ.l.ɛ.dʒ.ɪ.z	ʌ.l.ɛ.dʒ.d
p.aɪ.l.ʌ.t	p.aɪ.l.ʌ.t.ɪ.d	p.aɪ.l.ʌ.t.s	p.aɪ.l.ʌ.t.ɪ.d
ʌ.l.i.v.i.eɪ.t	ʌ.l.i.v.i.eɪ.t.ɪ.d	ʌ.l.i.v.i.eɪ.t.s	ʌ.l.i.v.i.eɪ.t.ɪ.d
p.ɪ.n	p.ɪ.n.d	p.ɪ.n.z	p.ɪ.n.d
æ.l.ʌ.k.eɪ.t	æ.l.ʌ.k.eɪ.t.ɪ.d	æ.l.ʌ.k.eɪ.t.s	æ.l.ʌ.k.eɪ.t.ɪ.d
ʌ.l.ɑ.t	ʌ.l.ɑ.t.ɪ.d	ʌ.l.ɑ.t.s	ʌ.l.ɑ.t.ɪ.d
ʌ.l.aʊ	ʌ.l.aʊ.d	ʌ.l.aʊ.z	ʌ.l.aʊ.d
p.aɪ.n	p.aɪ.n.d	p.aɪ.n.z	p.aɪ.n.d
p.ɪ.ŋ	p.ɪ.ŋ.d	p.ɪ.ŋ.z	p.ɪ.ŋ.d
æ.l.aɪ	ʌ.l.aɪ.d	æ.l.aɪ.z	ʌ.l.aɪ.d
p.ɪ.n.p.ɔɪ.n.t	p.ɪ.n.p.ɔɪ.n.t.ɪ.d	p.ɪ.n.p.ɔɪ.n.t.s	p.ɪ.n.p.ɔɪ.n.t.ɪ.d
p.aɪ.ʌ.n.ɪ.ɹ	p.aɪ.ʌ.n.ɪ.ɹ.d	p.aɪ.ʌ.n.ɪ.ɹ.z	p.aɪ.ʌ.n.ɪ.ɹ.d
p.aɪ.p	p.aɪ.p.t	p.aɪ.p.s	p.aɪ.p.t
ɔ.l.t.ɚ	ɔ.l.t.ɚ.d	ɔ.l.t.ɚ.z	ɔ.l.t.ɚ.d
ɔ.l.t.ɚ.n.ʌ.t	ɔ.l.t.ɚ.n.eɪ.t.ʌ.d	ɔ.l.t.ɚ.n.eɪ.t.s	ɔ.l.t.ɚ.n.eɪ.t.ʌ.d
p.aɪ.ɹ.ʌ.t	p.aɪ.ɹ.ʌ.t.ɪ.d	p.aɪ.ɹ.ʌ.t.s	p.aɪ.ɹ.ʌ.t.ɪ.d
p.ɪ.s	p.ɪ.s.t	p.ɪ.s.ɪ.z	p.ɪ.s.t
p.ɪ.t	p.ɪ.t.ʌ.d	p.ɪ.t.s	p.ɪ.t.ʌ.d
p.ɪ.tʃ	p.ɪ.tʃ.t	p.ɪ.tʃ.ɪ.z	p.ɪ.tʃ.t
ʌ.m.æ.l.g.ʌ.m.eɪ.t	ʌ.m.æ.l.g.ʌ.m.eɪ.t.ɪ.d	ʌ.m.æ.l.g.ʌ.m.eɪ.t.s	ʌ.m.æ.l.g.ʌ.m.eɪ.t.ɪ.d
ʌ.m.æ.s	ʌ.m.æ.s.t	ʌ.m.æ.s.ɪ.z	ʌ.m.æ.s.t
ʌ.m.eɪ.z	ʌ.m.eɪ.z.d	ʌ.m.eɪ.z.ɪ.z	ʌ.m.eɪ.z.d
æ.m.b.ʌ.l	æ.m.b.ʌ.l.d	æ.m.b.ʌ.l.z	æ.m.b.ʌ.l.d
æ.m.b.ʊ.ʃ	æ.m.b.ʊ.ʃ.t	æ.m.b.ʊ.ʃ.ɪ.z	æ.m.b.ʊ.ʃ.t
p.ɪ.v.ʌ.t	p.ɪ.v.ʌ.t.ʌ.d	p.ɪ.v.ʌ.t.s	p.ɪ.v.ʌ.t.ʌ.d
ʌ.m.ɛ.n.d	ʌ.m.ɛ.n.d.ɪ.d	ʌ.m.ɛ.n.d.z	ʌ.m.ɛ.n.d.ɪ.d
p.l.eɪ.s	p.l.eɪ.s.t	p.l.eɪ.s.ʌ.z	p.l.eɪ.s.t
p.l.eɪ.g	p.l.eɪ.g.d	p.l.eɪ.g.z	p.l.eɪ.g.d
p.l.eɪ.t	p.l.eɪ.t.ʌ.d	p.l.eɪ.t.s	p.l.eɪ.t.ʌ.d
p.l.æ.n	p.l.æ.n.d	p.l.æ.n.z	p.l.æ.n.d
p.l.eɪ.n	p.l.eɪ.n.d	p.l.eɪ.n.z	p.l.eɪ.n.d
æ.m.p.l.ʌ.f.aɪ	æ.m.p.l.ʌ.f.aɪ.d	æ.m.p.l.ʌ.f.aɪ.z	æ.m.p.l.ʌ.f.aɪ.d
ʌ.m.j.u.z	ʌ.m.j.u.z.d	ʌ.m.j.u.z.ɪ.z	ʌ.m.j.u.z.d
p.l.æ.n.t	p.l.æ.n.t.ʌ.d	p.l.æ.n.t.s	p.l.æ.n.t.ʌ.d
p.l.æ.s.t.ɚ	p.l.æ.s.t.ɚ.d	p.l.æ.s.t.ɚ.z	p.l.æ.s.t.ɚ.d
p.l.eɪ.t	p.l.eɪ.t.ʌ.d	p.l.eɪ.t.s	p.l.eɪ.t.ʌ.d
æ.ŋ.k.ɚ	æ.ŋ.k.ɚ.d	æ.ŋ.k.ɚ.z	æ.ŋ.k.ɚ.d
p.l.eɪ	p.l.eɪ.d	p.l.eɪ.z	p.l.eɪ.d
æ.ŋ.g.ɚ	æ.ŋ.g.ɚ.d	æ.ŋ.g.ɚ.z	æ.ŋ.g.ɚ.d
æ.ŋ.g.ʌ.l	æ.ŋ.g.ʌ.l.d	æ.ŋ.g.ʌ.l.z	æ.ŋ.g.ʌ.l.d
p.l.i.d	p.l.i.d.ʌ.d	p.l.i.d.z	p.l.i.d.ʌ.d
p.l.i.z	p.l.i.z.d	p.l.i.z.ɪ.z	p.l.i.z.d
æ.n.ʌ.m.ʌ.t	æ.n.ʌ.m.eɪ.t.ɪ.d	æ.n.ʌ.m.ʌ.t.s	æ.n.ʌ.m.eɪ.t.ɪ.d
p.l.ɛ.dʒ	p.l.ɛ.dʒ.d	p.l.ɛ.dʒ.ɪ.z	p.l.ɛ.dʒ.d
